OOC,TON,AIM,statute,OOC_new
agency records of lands leased for oil & gas development,open space,obtain agency records,"esa, nepa",conservation
agency regulation changes,forest,stop rule changes,"nfma, nepa",conservation
agency water conservation decision,river%clean water,challenge agency decision,nepa,conservation
airport expansion,land%air pollution,stop airport expansion,"nepa, caa, aea",conservation
airport expansion,other-environmental,stop construction,nepa,conservation
airport expansion,property,challenge project,nepa,conservation
airport expansion,fauna%flora%clean air%clean water,stop construction,nepa,conservation
airport expansion,open space,stop expansion,nepa,conservation
airport noise pollution,noise pollution,stop pollution,nca,conservation
airstrip timber sale,flora%forest,challenge sale,"flpma, nepa, esa",conservation
albany trail,forest,seek review,"nepa, nfma, wilderness act",conservation
allegedly deficient environmental assessment,open area,stop construction,nepa,conservation
allowable annual harvest of fish,ag-fauna%water,challenge decision,magnuson-stevens act,conservation
allowable sale quantity of timber,forest,stop timber sales,nfma,conservation
allowance of a timber harvest project,fauna%flora%land,stop project,"nepa, nfma, esa",conservation
allowance of grizzly bear hunting,fauna,protection of species,esa,conservation
allowed campsite and nature industry land,forest,motion to intervene,"wilderness act, nepa",conservation
allowing commercial horse slaughter,ag-fauna%horses%meat industry,motion to recover bonds,nepa,conservation
alternate routes%highway completion,highway,challange alternate plans,nepa,conservation
alternative harvest methods for logging,forest,challenge government environmental assessment,"nepa, nfma",conservation
alternatives to harvest,forest%fauna,stop timber harvest,"nepa, esa, multiple-use sustained-yield act, nfma",conservation
amendment to fmp,fauna,add defendants,"magnuson-stevens act, nepa",conservation
amendments to essential fish habitat,fauna%ocean%fish,stop fish habitat change,"magnuson-stevens act, nepa",conservation
amount of alternatives provided,fauna%other-environmental,prove violation of nepa,"nepa, flpma, energy policy act",conservation
an adjustment in policies,charismatic fauna,determine liability,esa,conservation
animal cruelty,fauna,recover compensation,esa,conservation
animal habitat,forest%fauna,stop project,"nepa, esa, nfma",conservation
animal smuggling and importation,charismatic fauna,press charges,"esa, lacey act, mmpa",conservation
animal trafficking,fauna,press charges,none,conservation
animal traps,fauna,intervene in case to stop animal trapping,esa,conservation
animal welfare,fauna,forfeit elephants,esa,conservation
annual harvest limit,ocean%ag-fauna%fauna,prove violation of msa,"magnuson-stevens act, nepa",conservation
apartment building,land,stop construction,nepa,conservation
appleton mill properties,natural resources,challenge land seizure,fpa,conservation
applications for funds for sewage tratment facility,clean water,stop sewage treatment plant,"nepa, cwa",conservation
approval of forest projects,forest,seek reversal,"nepa, nfma",conservation
approval of livestock grazing,fauna%land%flora,challenge grazing of livestock,"nfma, nepa, flpma",conservation
approval of logging project,forest%water%flora,stop violations,"nfma, nepa",conservation
approval to have 6.9 acres of land taken in a federal trust,land,challenge order,"nepa, aea",conservation
appurtenant structures on defendant's land,mineral%other environmental%land,determine ownership,cwa,conservation
aquifer,drinking water,aquifer remediation,sdwa,conservation
aquifer drainage,river,stop residential development,"nepa, esa",conservation
aquifers,clean water%toxic waste,clean up toxic chemicals,sdwa,conservation
army corp of engineers dredging plans,ocean%fauna%bay,use different dreding methods,"czma, cwa",conservation
artic leasing,petroleum%gas,stop oil and gas leases,"nepa, esa",conservation
asian carp,river%lake%fauna,stop invading species,"lacey act, cwa, cwa",conservation
attorney fees,fauna,seek funds,"esa, caa",conservation
attorney's fees,river,seek funds,"esa, cwa",conservation
attorney's fees,fauna,recover fees,magnuson-stevens act,conservation
authority over condemation of tracks,river%park land,stop condemnation,caa,conservation
authority over public land purchased,open space,declatory and injunctive relief,"flpma, mla, nepa",conservation
award of attorney's fees,forest%fauna,recover attorney's fees,"esa, nfma",conservation
backcountry plan,open space,stop actions in park,"nepa, national park service organic act",conservation
bag limits for fishing vessels,fauna,challenge regulation,magnuson-stevens act,conservation
bald eagle and golden eagle,charismatic fauna,fine individual,mbta,conservation
ban on imports of trophies from elephants sport-hunted in zimbabwe,fauna%imports,stop import regulation,esa,conservation
barriers obstructing navigable waters,water%other environmental,remove barriers,rivers and harbors act,conservation
basin creek hazardous fuels reduction product which would significantly affect wildlife and soil productivity,soil,stop project,"nepa, nfma",conservation
bayou,groundwater,seek damages,cwa,conservation
beach,coastline,stop construction,"czma, nepa",conservation
bear baiting,charasmatic fauna,compel supplemental regulation,"esa, nepa",conservation
bear guiding,fauna,seeking conviction,lacey act,conservation
biological opinion,river%fauna,add documents,"esa, nepa",conservation
biological opinion,fauna%forest%charismatic fauna,stop motorized access to idaho panhandle,esa,conservation
biological opinion on two endangered species,fauna,challenge opinion,"esa, cwa, nepa",conservation
biological opinion regarding impacts of waterfix project,water%fauna,challenge opinion,"esa, nepa",conservation
biological opinion%agency action,fauna%river,recover damages,esa,conservation
biological opinion%fishery management plan,charismatic fauna%ag-fauna,challenge agency action,"esa, magnuson-stevens act",conservation
biological opinions,river%fauna,deny intervention,"esa, nepa",conservation
biological opinions released by the fish and wildlife service,fauna,challenge opinions,esa,conservation
biologicial opinions,fauna,dismiss with conditions,esa,conservation
bird hunting regulations,fauna,limit hunting,"mbta, esa",conservation
bison,fauna,prevent the hunting of bison,nepa,conservation
bison research project,fauna,stop research%seeking apellate review,"nepa, esa",conservation
black bear hunt,fauna,stop hunt,"national park service organic act, nepa",conservation
black bear hunt,fauna,prevent hunt,"national park service organic act, nepa",conservation
blm order,petroleum,allow mining,"flpma, nepa, mla",conservation
blm petition,river%basin,challenge reclassification,"nepa, mla",conservation
blm resource management and travel plan,open space%river,stop construction,"nepa, wsra",conservation
boat dock,lake,stop construction,fpa,conservation
boat docks,lake,stop construction,"nepa, cwa, rivers and harbors act",conservation
boat ramp,bay,stop construction,"cwa, rivers and harbors act",conservation
bor water projects,river%fauna,supplement original complaint,esa,conservation
borrow pit,borrow pit%wetland,review a decision,"cwa, rivers and harbors act, cwa",conservation
boundary waters canoe area,waters%forest%mine,stop drilling or removing minerals from boundary waters canoe area,"wilderness act, nepa",conservation
break of dam,water,recover damages and enforce penalties,fpa,conservation
bridge,marine ecosystem,stop construction,nepa,conservation
bridge,river%bay,stop project,nepa,conservation
bridge,forest,allow construction,"nepa, nfma",conservation
bridge,river,stop construction,nepa,conservation
bridge construction,clean water,sever environmental from criminal charges,cwa,conservation
bridge construction and habitat disruption,ag-fauna%wetlands,halt construction,"esa, nepa, cwa",conservation
bridge crossings over fox river,river%fauna,stop construction,"nepa, esa",conservation
bridge%categorical exclusion,other-environmental,stop construction,nepa,conservation
brige and highway construction,open space,stop construction,nepa,conservation
build structures at national forest,forest,stop construction,nepa,conservation
building,open space,stop projects,nepa,conservation
building a wastewater treatment plant,other-environmental,permit construction%receive mandamus,cwa,conservation
building demolition,other-environmental,prevent demolition of building,nepa,conservation
building expansion,open space%coastal waters,get permit approved,czma,conservation
building of reservoir,wetlands,stop conservation easement,"nepa, fish and wildlife act",conservation
built a dam on the oconee river,lake%river,prohibit the operation of seaplanes,fpa,conservation
bull trout,fauna,protect species,esa,conservation
bull trout recovery plan,fauna,challenge department action,esa,conservation
bureau of land management regulations,grassland%juniper woodland%ag-fauna,challenge regulations,"flpma, nepa",conservation
bureau of safety and environmental enforcement regulations,petroleum%ocean,protect existing regulations on offshore drilling,nepa,conservation
canada lynx,charismatic fauna,protect species,esa,conservation
canadian wood bison,fauna,challenge treatment,esa,conservation
canal,river,stop construction,"nepa, esa",conservation
canal,open space,repair canal wall,fpa,conservation
canal%property rights,river,allow construction,"nepa, flpma, multiple-use sustained-yield act",conservation
cancel lease which limits use of land,open space%other-environmental,contest cancellation of lease,mla,conservation
cape fur seal skins,fauna%water,stop importation of seal skins,mmpa,conservation
captive killer whales,charasmatic fauna,list species as engangered,esa,conservation
capture of rattlesnake,fauna,convict defendant for criminal charges,esa,conservation
cargo which sunk with a wrecked ship in lake huron,lake,sieze property,rivers and harbors act,conservation
cargo yard,bay,stop construction,"cwa, nepa, czma",conservation
caribbean electric ray,fauna,protect species,esa,conservation
casino,open space,stop construction,cwa,conservation
casino,groundwater%coastline,stop construction,"cwa, nepa, czma, cwa",conservation
casino,property%air,stop construction,"nepa, caa",conservation
casino construction,open space,challenge department action,"caa, nepa",conservation
casino construction,property,challenge departmental action,nepa,conservation
catch limits,ag-fauna,challenge rule,magnuson-stevens act,conservation
catch quotas,fauna,review catch quotas,magnuson-stevens act,conservation
catch quotas,fauna%water,challenge quotas,magnuson-stevens act,conservation
cattle grazing,fauna%river%flora,stop grazing,"wsra, nepa, cwa, esa",conservation
cause of forest fire within national forest,forest%flora%fauna,prove liablility for forest fire,cwa,conservation
cause of shortage,drinking water,reconsider decision,esa,conservation
causeway,marsh,stop the construction of causeway,"rivers and harbors act, nepa, fwca",conservation
cease proposed forest management project,fauna%forest,protection of species,"nepa, esa, nfma",conservation
cease treecutting,forest%wetlands,cease site evacation,"cwa, esa",conservation
century freeway,open space%pollution,stop contrsuction,"nepa, caa",conservation
cercla liability,toxic waste disposal,recover costs,"cercla, magnuson-stevens act",conservation
challenge department plan,forest,challenge department action,"nfma, nepa",conservation
challenge procedures used during wolf reintroduction project,fauna,challenge procedures,"esa, cwa, nepa",conservation
challenge regulations on herd management,ag-fauna,file formal complaint,none,conservation
challenge travel management rule,forest%open space%flora%fauna,challenge decision,"nepa, nfma, esa",conservation
channel improvement project,river,stop construction,"nepa, cwa",conservation
chicod creek watershed project,stream,stop construction,"nepa, rivers and harbors act",conservation
chicod creek watershed project,stream,stop project,nepa,conservation
chimpanzees,charismatic fauna,dismiss case,esa,conservation
city contract for construction of a sewage treatment facility,water,injuctive relief,cwa,conservation
civil penalty,charismatic fauna,challenge departmental action,esa,conservation
classification under esa,charismatic fauna,challenge regulation,"esa, cwa",conservation
clearcutting project,forest%ag-flora,halt timber sales,nepa,conservation
clearing of wetlands,clean water%wetlands,restore wetlands,cwa,conservation
cliff swallows,fauna,challenge termination,mbta,conservation
closure of f street,other environmental,stop closure,nepa,conservation
closure of roads in big creek,other environmental,challenge closure of user created roads,"nepa, nfma",conservation
closure of some areas to snowmobiles,forest,challenge agency decision,"nepa, nfma, wilderness act",conservation
coal mine,mine,seek approval to intervene,"flpma, nepa, esa",conservation
coastal barrier resources act,other-environmental,reconsideration,czma,conservation
coastal degradation,ocean,damages for degradation,none,conservation
coastal erosion mitigation proposal,coastline,mitigate erosion,czma,conservation
coastal shark fishery season,fauna%ocean,reopen shark fishery,"magnuson-stevens act, nepa",conservation
coastline erosion vs. fishing interests,ocean,stop inlet closure,"nepa, cwa",conservation
coffee beans,ag-flora,prevent the sale of certain coffee beans.,ffdca,conservation
coffee beans,ag-flora,destroy coffee,ffdca,conservation
coho salmon,fauna,stop logging,esa,conservation
coho salmon,fauna,stop esa designation,esa,conservation
columbia river channel improvement project,fauna%river,ensure compliance with nepa and esa,"nepa, esa",conservation
commercial fishing gear licensing,fauna,seeking transcripts%appeal,esa,conservation
commercial landings,san francisco bay,recover costs,rivers and harbors act,conservation
commercial logging and road construction,forest%flora%fauna%wildlife,stop construction%start regulation%defedant motion for summary judgement,"esa, nepa, flpma, wsra",conservation
comms tower build,open space,application review,"flpma, wilderness act",conservation
compel previously unavailable documents,charismatic fauna%fauna,completion of administrative record,"esa, czma, nepa, nmagnuson-stevens act",conservation
compliance with conservation plan,bay%delta%water resources,stop regulation,"nepa, esa, cwa",conservation
compliance with marine mammal protection act,charismatic fauna,challenge department action,"nepa, mmpa",conservation
comprehensive conservation plan,forest,challenge plan,"nepa, cwa",conservation
concessions of land,open space,challenge department action,cwa,conservation
condemnation statute,open space,remand to state court and recover costs,nepa,conservation
condemned portion of land used for tennessee tombigbee waterway project,open space%other-environmental,recover condemned property,nepa,conservation
condo complex,clean air,improve building to regulation,caa,conservation
condo project,bay%ocean%lake%wetlands,stop construction,"cwa, esa",conservation
condominum development,fauna%beach,stop construction,"esa, nepa",conservation
condos,coast line,stop construction,czma,conservation
conservation code of the leech lake band of chippewa indians,lake,stop transport* sale and purchase of fish,lacey act,conservation
conspiracy to violate cwa,water,suppress statements,cwa,conservation
conspiracy to violate lacey act,wildlife,review magistrate decision,lacey act,conservation
construction,historic sites,stop construction,nepa,conservation
"construction a 188 acre ""venetian"" canal housing development",water%other environmental,stop construction,"nepa, cwa",conservation
construction and operation of the ocean view transfer station and recycling center,fauan,stop construction,esa,conservation
construction materials,lumber%other,stop collection of state sales and use taxes,aea,conservation
construction of 10*105 acre community,open space%water%other-environment,challenge a permit,"cwa, nepa",conservation
construction of a natural gas pipeline,fauna%canal%several water bodies,stop construction,"cwa, rivers and harbors act, nepa, esa, caa, epa",conservation
construction of a new building,other environmental,stop construction,nepa,conservation
construction of a new dam,fauna%water,stop construction,"esa, cwa, nepa",conservation
construction of a particular route,other environmental,stop construction,"nepa, esa",conservation
construction of a sediment basin,land%sediment,challenge adequacy of analysis,nepa,conservation
construction of a ski lift,other environmental%flora,stop construction,"nfma, nepa",conservation
construction of a skyscraper,other environmental%land,stop construction,nepa,conservation
construction of a tribal historical center,other-environmental,stop construction,nepa,conservation
construction of a waterway,water,stop construction,nepa,conservation
construction of an emergency drought salinity barrier,river,stop construction,esa,conservation
construction of an interstate route,other environmental,stop construction,fpa,conservation
construction of an interstate route,other environmental,stop fourth phase of construction,nepa,conservation
construction of darien gap highway,water%other environmental,stop construction,nepa,conservation
construction of facilities%failure to follow federal statute,national park%mountains,determine liability%seek damages%stop construction,nepa,conservation
construction of highway,open space,stop construction,nepa,conservation
construction of highway,clean air%land,stop construction,"nepa, caa, fpa",conservation
construction of incinerators for food waste and other domestic waste,other-environmental,stop construction project in antartica,nepa,conservation
construction of lake alma,water%lake,stop prevention of building a lake,"mprsa, cwa, nepa, aea, esa, cwa",conservation
construction of marine container terminal,flora%fauna%ocean%wetlands,protection of species%stop water pollution,"nepa, cwa, rivers and harbors act, esa",conservation
construction of new silicon plant,clean air,stop manufacturing facility,caa,conservation
construction of overflow retention basins,clean water%waste disposal,stop construction,"nepa, cwa",conservation
construction of refinery in whiting,oil%water%pollution,stop construction of refinery,caa,conservation
construction of shopping mall,fauna,protect endangered species%stop construction,"esa, nepa",conservation
construction of street car system near historic landmark,clean air,stop construction,"caa, nepa",conservation
construction of streetcar line,open space%clean air,stop construction,caa,conservation
construction of the blue rock country club,fauna%other environmental,stop construction,esa,conservation
construction of the hackensack meadowlands sports complex,other environmental%pollution%air,stop construction,caa,conservation
construction of the light rail transit called the purple line,other environmental%water%pollution,stop construction,"nepa, cwa",conservation
construction permit,wetland,challenge decision,"cwa, cwa",conservation
construction permit,wetlands,allow construction,"cwa, caa, nepa",conservation
construction permit,land%bay%clean water,challenge construction permit,none,conservation
construction permits,property,challenge denial,"nepa, cwa, rivers and harbors act",conservation
construction permits for dam,river,prove violation of statute,"nfma, cwa, nepa, fpa",conservation
construction project which invades endangered species habitat,charistmatic fauna,protection of species%recover legal fees,"cwa, esa",conservation
construction projects,open space,stop construction,nepa,conservation
construction work,clean air,prevent future pollution,caa,conservation
consultation necessity,ag-fauna%fauna,summary judgement,"esa, magnuson-stevens act, cwa",conservation
contaminated property,water%land,recover remediation costs,"cercla, cercla",conservation
contaminated property,toxic waste disposal%soil,hold defendant liable for clean up,cercla,conservation
contaminated shrip,ag-fauna,challenge department action,ffdca,conservation
contamination of groundwater on property,groundwater%water%clean water,seek damages,"rcra, cercla",conservation
contamination on property called acreage,toxic waste%land%water,stop environmental contamination,cercla,conservation
contest filling wetlands in order to construct a landfill,wetlands,stop construction,"nepa, cwa",conservation
contested road was not improperly segmented,open space,stop construction,"nepa, cwa, caa",conservation
contracts authorizing water delivery,water,challenge renewal of contract,nepa,conservation
conversion project,fauna%open space,stop construction,esa,conservation
corner mountain fire salvage timber sale,forest,stop extraction,"nepa, nfma",conservation
cortez hills expansion project,mountain,stop extraction of gold,"flpma, nepa",conservation
cottonwood forest management project,wetlands%creek%forest%flora%fauna%charismatic fauna,stop extraction and construction,"nepa, esa, flpma",conservation
cove fire salvage and restoration project,forest,challenge project,"nepa, nfma",conservation
cow fly salvage project,forest%fauna,stop extraction,"nepa, nfma",conservation
creation of wilderness area,mineral resources%forest%river,establish mine ownership,wilderness act,conservation
creek,open space%ag-flora%flora%fauna,stop channelization,nepa,conservation
creek access,water%harbor%other-environmental,stop interferance with boat use,rivers and harbors act,conservation
creek restoration project,creek%fauna,stop project,"esa, nepa, nfma, none",conservation
criminal sentence,charismatic fauna,punish violation,"esa, lacey act",conservation
critical habitat conservation area,fauna%flora%river,protect conservation area,"nepa, esa",conservation
critical habitat designation,fauna,stop regulation,esa,conservation
critical habitat designation,fauna,protect habitat,esa,conservation
critical habitat designation,fauna,allow commercial use,"nepa, esa, mbta",conservation
critical habitat designations,fauna,stop protection of species,"esa, nepa",conservation
critical habitat designations,forest%fauna,stop timber sale,"esa, flpma",conservation
critical habitat for protected species,flora%fauna,protection of species,"nepa, caa, esa",conservation
critical habitat for silvery minnow,fauna,challenge final rule,"nepa, esa",conservation
ctricial habitat for four species of fairy shrimp,fauna,establish habitat,esa,conservation
culvert%drainage,wetlands,review agency decision,cwa,conservation
cwa,clean water,enforce cwa,cwa,conservation
cwa,wetlands,expand scope of the cwa,cwa,conservation
cwa amendment,invasive species%waterways,challenge regulation,"cwa, nepa",conservation
d'arbonne refuge,wildlife refuge%oil,stop violations of environmental laws,"nepa, mbta, esa, fwca",conservation
dam,river,stop curtailment of summer spill,esa,conservation
dam,lake%river%reservoir,stop construction,"nepa, esa, cwa, fwca",conservation
dam,river%reservoir,stop project,"nepa, fwca",conservation
dam,river,stop construction,nepa,conservation
dam,river,establish liabilty,cwa,conservation
dam,river,enforce regulation,nepa,conservation
dam,river%lake,stop construction.,"nepa, fwca, fish and wildlife act, wsra",conservation
dam,river,stop construction.,"nepa, wsra, fish and wildlife act",conservation
dam,reservoir,recover damages,fpa,conservation
dam action,river,alter river flow,"nepa, esa, magnuson-stevens act, fwca",conservation
dam and resevoir construction,property,stop construction,"nepa, cwa",conservation
dam construction,river,stop construction,"cwa, cwa, nepa, fwca, caa, esa",conservation
dam construction,river%flora%fauna,protection of species,esa,conservation
dam construction,river,stop dam construction,"nepa, cwa",conservation
dam operation,fauna%river,protect species,esa,conservation
dam operation and debris,dam%reservoir,determine liability,"rivers and harbors act, nepa",conservation
dam output,water%lake,increase dam output,esa,conservation
dam project,river%fauna%flora%clean water,partial reconsideration,"esa, cwa",conservation
dam release,lake,recover damages,fpa,conservation
dam releases,waterways,stop certain operations,"cwa, esa",conservation
dam%flycatcher,river,protect endangered species%limit dam storage,"esa, nepa, mbta",conservation
damage to the aquatic ecosystem,wetland%water,stop construction,"cwa, nepa, esa",conservation
damaged marine ecosystem%oyster industry,marine ecosystem%ag-fauna,stop construction,"rivers and harbors act, cwa, nepa",conservation
damaged warehouse,open space,recover compensation,none,conservation
damages to oyster leases,ag-fauna%ocean%waterway,prove liability%recover cost,rivers and harbors act,conservation
damages to trees and crops and property,flora%land%water,seek relief for damages,rivers and harbors act,conservation
dams,fauna,clarification of scope,esa,conservation
dams,river%fauna,stop dam removal,"esa, nepa, wilderness act",conservation
dams interferance with migration patterns,fauna%water,stop interferance,"esa, cwa",conservation
dams%salmon,fauna%river,protect species,"esa, cwa",conservation
danger for species,fauna%river,dam operations,"nepa, esa",conservation
daniel boone national forest%ice storm recovery project,forest,stop regulation%protect species,"nepa, esa, nfma",conservation
ddt products%environmental impact statement,ag-fauna,challenge decision to limit ddt product registration,"nepa, fifra",conservation
death of two northern right whales,charismatic fauna,enforce policy,"esa, mmpa, nepa",conservation
decision to abandon railroad,property,challenge decision,"nepa, caa",conservation
decision to allow grazing on protected land,ag-fauna%livestock,start regulation,nepa,conservation
decision to allow logging in a project,flora%forest%fauna,stop decision,nepa,conservation
decision to take land,open space,return land to tribe,nepa,conservation
deer hunting permit,fauna,stop permit,"esa, nepa, mbta",conservation
deer management program,fauna,stop program,"national park service organic act, nepa",conservation
defendants failure to comply with discovery,charismatic fauna,discovery,esa,conservation
defendants motion to dismiss,fauna%charismatic fauna,stop construction and protect turtles,"esa, cwa, sdwa",conservation
deficiencies in application to build golf course,forest%wetlands%river%gulf,stop construction,"cwa, nepa, esa",conservation
"definition of ""harm"" esa",forest%fauna,regulation dismissal,esa,conservation
definition of five words in the clean water act,water,seek to challenge rule,cwa,conservation
degrading water quality,water%toxic waste,stop violations,cwa,conservation
delaware water gap national recreation area and the tocks island reservoir project,water%reservior%other environmental,stop construction,fpa,conservation
deleware river dredging project,river,stop dredging,"cwa, caa, czma, nepa",conservation
delist a northern rocky mountain gray wolf,open space,determine liability,esa,conservation
delisting,fauna,delist some species,esa,conservation
delisting,fauna,relist species,esa,conservation
delisting of species,fauna,reconsider decision,esa,conservation
denial of telecommunication facility,forest,challenge decision,nepa,conservation
department project,mineral resources,seek atorneys fees,"esa, nepa, nfma",conservation
designation of critical habitat,fauna,protection of species,esa,conservation
designation of land as a critical habitat,land%fauna,challenge designation of land,"esa, nepa",conservation
designation of travel routes,mountain,review a decision,"flpma, wilderness act, nepa",conservation
destruction of wetlands,wetlands,stop project,cwa,conservation
determine the ordinary high water mark,water%river,determine liability,cwa,conservation
develop marsh and swamp land,water%land,stop construction,cwa,conservation
development permit,coastline,defend ruling,czma,conservation
development project,bayou%open space,stop construction,nepa,conservation
devil's garden wild horse territory,fauna%land,challenge plan,"nepa, nfma",conservation
dike removal,bay,dike removal,"rivers and harbors act, fwca",conservation
dikes,dike%river,press charges,cwa,conservation
dirt fill roadway,wetlands%other environmental,restore wetlands,"rivers and harbors act, cwa, cwa",conservation
disruption of timber harvesting,waterbodies%flora,seek damages%stop project,cwa,conservation
district development project,marsh%fauna,stop development,nepa,conservation
diversion of water from a creek into a ditch,water%river%lake,stop construction,esa,conservation
dock,lake,prevent construction,fpa,conservation
dock,lake,stop construction,fpa,conservation
dock,river,stop dock build,"esa, nepa, rivers and harbors act",conservation
dock construction,dam%reservior,prevent defendant from obatining property,fpa,conservation
docking permit%ferry,lake,challenge permitting decision,nepa,conservation
documents,fauna,seeking documents,esa,conservation
documents,fauna%water,request documents,"cwa, esa",conservation
domestic animal care,fauna,challenge constitutionality,none,conservation
dredge,river%bays%clean water,stop project,"czma, nepa",conservation
dredge and fill permits,fauna,protection of species,"cwa, nepa, esa, flpma",conservation
dredging,wetland,challenge departmental action,"cwa, cwa, rivers and harbors act",conservation
dredging and dumping without eis,ocean%other-environmental,stop dredging activities,nepa,conservation
dredging by the army corp,harbor,recover damages due to negligence,nepa,conservation
dredging of the thames river,river,stop project,"cwa, nepa",conservation
dredging of wetlands,wetland,press charges%stop project,cwa,conservation
dredging operations,river%pollution%toxic waste disposal,compliance with minnesota pollution laws,caa,conservation
dredging project,beach,recover damages,cwa,conservation
dredging project,creek,stop dredging,"cwa, fwca, nepa",conservation
dredging project,river,prevent dredging,rivers and harbors act,conservation
dredging the new haven harbor,river%harbor,stop project,nepa,conservation
dredging%property damage,clean water%flora,delete federal claims%transfer case,cwa,conservation
drilling permits,forest,stop extraction,"nepa, mla, flpma",conservation
duty to manage population,charasmatic fauna,remove wild horses,"wild free-roaming horses and burros act, flpma, nepa",conservation
duty to remove from private lands,charasmatic fauna,stop wild horse removal,nepa,conservation
eagles,fauna,enforce law,mbta,conservation
easement for operation of reservoir,forest%river,prevent reservoir operation,flpma,conservation
easements,forest,stop construction,"nepa, nfma",conservation
economic losses from regulation,mining%coal,motion to strike by defendants,"nepa, cwa",conservation
economic zone around baker and howland islands,ocean,stop illegally fishing,"magnuson-stevens act, magnuson-stevens act",conservation
effect of water diversion projects on fish,fauna,protect threatened fish%stop construction,esa,conservation
effects of erosion control projects,water,recover damages from erosion,"czma, rivers and harbors act",conservation
eis,other-environmental,stop foreclosure,nepa,conservation
eis,clean air%other-environmental,prove violation of nepa,"nepa, wsra, esa",conservation
eis,river%marsh%open space,stop construction,nepa,conservation
eis,forest,stop timber sale,"nfma, nepa",conservation
eis,land,invalidate eis,nepa,conservation
eis,fauna%flora%soil%water,challenge the eis,"nepa, flpma",conservation
eis addressing former military base,land,challenge eis,"nepa, esa, national park service organic act, czma, mmpa, mbta",conservation
eis alternative,flora%fauna%open space,stop hospital construction,nepa,conservation
eis for aerial spray project in forest,fauna%forest%water,stop aerial spraying,"nepa, cwa, cwa, esa",conservation
