CDD_ID_A,CDD_ID_D,CDD_ID_row,DISTRICT,OFFICE,DOFFICE,DKTDATE,DDKTDATE,FILEDATE,TERMDATE,JURIS,DJURIS,DISP,JUDGMENT,ADISP,OUTCOME,DPLT,DPLT_typ,DDEF,DDEF_typ,PLT,DEF,appellant_PLT_DEF,appellee_PLT_DEF,match_type,match_type_update,PLT_typ,DEF_typ,yr_file,row_add,ID
0-90-0000379,0-90-0000379,2,90,1,1,1/19/04,2/28/00,2/28/00,11/26/03,2,US govt defendant,14,-8,1,3,NATL ASSN HOME BLDR,OTHER,"US ARMY CORPS/ENG., ET AL",FED,NATL,US ET AL,PLT,DEF,STRONG,STRONG,NGO,FED,2004,1,0-90-0000379-1
0-90-0000558,0-90-0000558,1,90,1,1,1/19/04,3/16/00,3/16/00,3/31/04,2,US govt defendant,14,-8,1,3,NAT'L STONE ASSOC.,BIZ,"US ARMY CORPS/ENG., ET AL",FED,NATL ET AL,US ET AL,PLT,DEF,STRONG,STRONG,NGO,FED,2004,1,0-90-0000558-1
0-90-0000785,0-90-0000785,1,90,1,1,6/4/03,4/11/00,4/11/00,3/31/03,2,US govt defendant,6,2,5,-8,"SAN JUAN AUDUBON SOC, ET AL",NGO,WILDLIFE SERVICES,BIZ,SAN ET AL,WLDLF ET AL,PLT,DEF,STRONG,STRONG,NGO,BIZ,2003,1,0-90-0000785-1
0-90-0001017,0-90-0001017,1,90,1,1,10/23/01,5/8/00,5/8/00,8/20/01,2,US govt defendant,6,2,5,-8,"COOK INLET BELUGA, ET AL",BIZ,"DALEY, ET AL",FED,COOK ET AL,EVANS ET AL,PLT,DEF,MOD,MOD,BIZ,FED,2001,1,0-90-0001017-1
0-90-0001134,0-90-0001134,1,90,1,1,8/30/02,5/19/00,5/19/00,8/26/04,2,US govt defendant,6,-8,5,-8,"CONSERV LAW FOUND, ET AL",NGO,"DALEY, ET AL",FED,EVANS ET AL,CONSRVTN ET AL,DEF,PLT,MOD,MOD,FED,NGO,2002,1,0-90-0001134-1
0-90-0001544,0-90-0001544,5,90,1,1,10/26/00,6/28/00,6/28/00,3/31/03,2,US govt defendant,6,2,1,5,"DEFENDERS WILDLIFE, ET AL",NGO,"BABBITT, ET AL",FED,CTRL ET AL,DEFENDERS ET A,DEF,PLT,MOD,MOD,FED,NGO,2000,1,0-90-0001544-1
0-90-0001544,0-90-0001544,5,90,1,1,10/27/00,6/28/00,6/28/00,3/31/03,2,US govt defendant,6,2,1,5,"DEFENDERS WILDLIFE, ET AL",NGO,"BABBITT, ET AL",FED,SALT ET AL,DEFENDERS ET A,DEF,PLT,MOD,MOD,FED,NGO,2000,2,0-90-0001544-2
0-90-0001544,0-90-0001544,5,90,1,1,10/31/00,6/28/00,6/28/00,3/31/03,2,US govt defendant,6,2,1,5,"DEFENDERS WILDLIFE, ET AL",NGO,"BABBITT, ET AL",FED,SO ET AL,DEFENDERS ET A,DEF,PLT,MOD,MOD,FED,NGO,2000,3,0-90-0001544-3
0-90-0001544,0-90-0001544,5,90,1,1,11/13/00,6/28/00,6/28/00,3/31/03,2,US govt defendant,6,2,1,5,"DEFENDERS WILDLIFE, ET AL",NGO,"BABBITT, ET AL",FED,ST ET AL,DEFENDERS ET A,DEF,PLT,MOD,MOD,FED,NGO,2000,4,0-90-0001544-4
0-90-0001544,0-90-0001544,5,90,1,1,11/17/00,6/28/00,6/28/00,3/31/03,2,US govt defendant,6,2,1,5,"DEFENDERS WILDLIFE, ET AL",NGO,"BABBITT, ET AL",FED,ST ET AL,DEFENDERS ET A,DEF,PLT,MOD,MOD,FED,NGO,2000,5,0-90-0001544-5
0-90-0002155,0-90-0002155,1,90,1,1,2/17/04,9/8/00,9/8/00,12/24/03,2,US govt defendant,3,-8,1,1,"NATL ASSN HOME BLDRS, ET AL",OTHER,"BABBITT, ET AL",FED,NATL ET AL,NORTON ET AL,DEF,PLT,STRONG,STRONG,NGO,FED,2004,1,0-90-0002155-1
0-90-0002206,0-90-0002206,1,90,1,1,9/11/02,9/14/00,9/14/00,7/10/02,2,US govt defendant,17,-8,5,-8,"SIERRA CLUB, ET AL",NGO,BROWNER,FED,WHITMAN ET AL,SIERRA,DEF,PLT,MOD,MOD,FED,NGO,2002,1,0-90-0002206-1
0-90-0002339,0-90-0002339,1,90,1,1,7/31/03,9/29/00,9/29/00,1/31/03,2,US govt defendant,6,1,5,-8,"AMER. LANDS ALLIANCE, ET AL",NGO,"BABBITT, ET AL",FED,NORTON ET AL,AMER ET AL,DEF,PLT,MOD,MOD,FED,NGO,2003,1,0-90-0002339-1
0-90-0002521,0-90-0002521,1,90,1,1,6/7/02,10/23/00,10/23/00,3/31/02,2,US govt defendant,6,1,5,-8,"AMERICAN WILDLANDS, ET AL",NGO,"BABBITT, ET AL",FED,NORTON ET AL,AMER ET AL,DEF,PLT,MOD,MOD,FED,NGO,2002,1,0-90-0002521-1
0-90-0002798,0-90-0002798,1,90,1,1,10/19/01,11/20/00,11/20/00,8/20/01,2,US govt defendant,6,2,1,1,RANCHO VIEJO LLC,BIZ,"BABBITT, ET AL",FED,RANCHO,NORTON ET AL,PLT,DEF,MOD,MOD,BIZ,FED,2001,1,0-90-0002798-1
0-90-0002855,0-90-0002855,2,90,1,1,4/23/03,11/28/00,11/28/00,3/31/03,2,US govt defendant,3,-8,1,2,GENERAL ELECTRIC CO.,BIZ,"BROWNER, ET AL",FED,GEN,EPA ET AL,PLT,DEF,MOD,MOD,BIZ,FED,2003,1,0-90-0002855-1
0-90-0002855,0-90-0002855,2,90,1,1,3/24/09,11/28/00,11/28/00,3/31/03,2,US govt defendant,3,-8,1,1,GENERAL ELECTRIC CO.,BIZ,"BROWNER, ET AL",FED,GENERAL ELECTRIC COM,JACKSON,PLT,DEF,MOD,MOD,BIZ,FED,2009,2,0-90-0002855-2
0-90-0002996,0-90-0002996,1,90,1,1,2/24/03,12/14/00,12/14/00,12/26/02,2,US govt defendant,6,1,1,2,"DEFENDERS OF WILD., ET AL",NGO,"BABBITT, ET AL",FED,NORTON ET AL,DEFENDERS ET A,DEF,PLT,MOD,MOD,FED,NGO,2003,1,0-90-0002996-1
0-90-0003030,0-90-0003030,2,90,1,1,12/16/03,12/20/00,12/20/00,8/19/04,2,US govt defendant,18,-8,5,-8,"BIODIVERSITY LEGAL, ET AL",NGO,"CLARK, ET AL",FED,BIODIVRSTY ET AL,NORTON,PLT,DEF,MOD,MOD,NGO,FED,2003,1,0-90-0003030-1
0-90-0003030,0-90-0003030,2,90,1,1,12/5/03,12/20/00,12/20/00,8/19/04,2,US govt defendant,18,-8,5,-8,"BIODIVERSITY LEGAL, ET AL",NGO,"CLARK, ET AL",FED,NORTON ET AL,BIODIVRSTY ET,DEF,PLT,MOD,MOD,FED,NGO,2003,2,0-90-0003030-2
0-90-0003044,0-90-0003044,2,90,1,1,5/17/02,12/21/00,12/21/00,5/31/02,2,US govt defendant,6,1,1,2,CTR/BIOLOGICAL DIV,NGO,"DANZIG, ET AL",FED,PIRIE,CTR ET AL,PLT,DEF,MOD,MOD,NGO,FED,2002,1,0-90-0003044-1
0-90-0003044,0-90-0003044,2,90,1,1,6/3/02,12/21/00,12/21/00,5/31/02,2,US govt defendant,6,1,1,2,CTR/BIOLOGICAL DIV,NGO,"DANZIG, ET AL",FED,RUMSFELD,CTR ET AL,DEF,PLT,MOD,MOD,FED,NGO,2002,2,0-90-0003044-2
0-90-0100274,NA,4,NA,NA,1,4/12/07,3/31/04,NA,NA,2,NA,99,NA,5,-8,NA,NA,NA,NA,NATL ET AL,US ET AL,NA,NA,NA,NA,NGO,FED,2007,1,0-90-0100274-1
0-90-0100765,0-90-0100765,1,90,1,1,12/9/03,4/10/01,4/10/01,9/24/02,2,US govt defendant,17,-8,5,-8,HAWAII LONGLINE ASSN,OTHER,"NATL MARINE SERVICE, ET AL",BIZ,NATL ET AL,HI ET AL,DEF,PLT,MOD,MOD,NGO,OTHER,2003,1,0-90-0100765-1
0-90-0100813,0-90-0100813,2,90,1,1,12/31/03,4/16/01,4/16/01,7/31/03,2,US govt defendant,6,1,5,-8,"FUND FOR ANIMALS, ET AL",NGO,"NORTON, ET AL",FED,FUND ET AL,NORTON ET AL,PLT,DEF,STRONG,STRONG,NGO,FED,2003,1,0-90-0100813-1
0-90-0100813,0-90-0100813,2,90,1,1,10/4/01,4/16/01,4/16/01,7/31/03,2,US govt defendant,6,1,1,2,"FUND FOR ANIMALS, ET AL",NGO,"NORTON, ET AL",FED,NAT ET AL,FUND ET AL,DEF,PLT,STRONG,STRONG,FED,NGO,2001,2,0-90-0100813-2
0-90-0101516,0-90-0101516,1,90,1,1,7/31/02,7/11/01,7/11/01,6/13/02,2,US govt defendant,6,2,5,-8,"GREATER YELLOWSTONE, ET AL",BIZ,"BOSWORTH, ET AL",FED,BOSWORTH ET AL,GRTR ET AL,DEF,PLT,STRONG,STRONG,FED,BIZ,2002,1,0-90-0101516-1
0-90-0101537,0-90-0101537,1,90,1,1,7/31/06,7/16/01,7/16/01,3/31/06,2,US govt defendant,6,1,5,-8,SIERRA CLUB,NGO,WHITMAN,FED,JOHNSON,SIERRA,DEF,PLT,MOD,MOD,FED,NGO,2006,1,0-90-0101537-1
0-90-0102011,0-90-0102011,1,90,1,1,11/30/04,9/24/01,9/24/01,9/30/04,2,US govt defendant,6,-8,2,1,MONTANA SHOOTING SPORTS ASSOCI,BIZ,NORTON,FED,MT ET AL,NORTON ET AL,PLT,DEF,STRONG,STRONG,BIZ,FED,2004,1,0-90-0102011-1
0-90-0102078,0-90-0102078,2,90,1,1,3/13/03,10/3/01,10/3/01,2/25/03,2,US govt defendant,6,3,1,3,"FUND FOR ANIMALS, ET AL",NGO,"JONES, ET AL",IND,FUND ET AL,WILLIAMS ET AL,PLT,DEF,MOD,MOD,NGO,FED,2003,1,0-90-0102078-1
0-90-0102078,0-90-0102078,2,90,1,1,3/11/04,10/3/01,10/3/01,2/25/03,2,US govt defendant,6,3,1,3,"FUND FOR ANIMALS, ET AL",NGO,"JONES, ET AL",IND,FUND ET AL,WILLIAMS ET AL,PLT,DEF,MOD,MOD,NGO,FED,2004,2,0-90-0102078-2
0-90-0102288,0-90-0102288,1,90,1,1,12/12/01,11/2/01,11/2/01,12/13/01,2,US govt defendant,14,-8,5,-8,"FUND FOR ANIMALS, ET AL",NGO,"MAINELLA, ET AL",FED,FUND ET AL,MAINELLA ET AL,PLT,DEF,STRONG,STRONG,NGO,FED,2001,1,0-90-0102288-1
0-90-0102340,0-90-0102340,1,90,1,1,10/28/03,11/8/01,11/8/01,9/30/03,2,US govt defendant,6,2,5,-8,"WYOMING OUTDOOR, ET AL",STA,"BOSWORTH, ET AL",FED,WY ET AL,BOSWORTH ET AL,PLT,DEF,STRONG,STRONG,STA,FED,2003,1,0-90-0102340-1
0-90-0201457,0-90-0201457,1,90,1,1,6/23/03,7/23/02,7/23/02,4/23/03,2,US govt defendant,6,2,1,1,"CASTLEWOOD PRODUCT, ET AL",BIZ,"NORTON, ET AL",FED,INTERFOREST ET A,CASTLEWOOD ET,DEF,PLT,STRONG,STRONG,FED,BIZ,2003,1,0-90-0201457-1
0-90-0201868,0-90-0201868,2,90,1,1,2/24/03,9/23/02,9/23/02,12/23/02,2,US govt defendant,11,-8,5,-8,SOUTHERN UTAH WILDERNESS ALLIA,NGO,NORTON,FED,NORTON ET AL,SO ET AL,DEF,PLT,STRONG,STRONG,FED,NGO,2003,1,0-90-0201868-1
0-90-0201868,0-90-0201868,2,90,1,1,2/27/03,9/23/02,9/23/02,12/23/02,2,US govt defendant,11,-8,5,-8,SOUTHERN UTAH WILDERNESS ALLIA,NGO,NORTON,FED,UT ET AL,SO ET AL,PLT,DEF,STRONG,STRONG,NGO,FED,2003,2,0-90-0201868-2
0-90-0202057,0-90-0202057,5,90,1,1,10/24/17,10/22/02,10/22/02,8/11/17,2,federal question,6,2,5,-8,"GOVERNMENT OF THE PROVI, ET AL",LOC,"NORTON, ET AL",FED,GOVERNMENT OF THE PR,MIKKELSEN,PLT,DEF,STRONG,STRONG,LOC,FED,2017,1,0-90-0202057-1
0-90-0202057,0-90-0202057,5,90,1,1,6/30/05,10/22/02,10/22/02,8/11/17,2,federal question,6,2,5,-8,"GOVERNMENT OF THE PROVI, ET AL",LOC,"NORTON, ET AL",FED,NORTON,ST ET AL,DEF,PLT,STRONG,STRONG,FED,LOC,2005,2,0-90-0202057-2
0-90-0202057,0-90-0202057,5,90,1,1,6/30/05,10/22/02,10/22/02,8/11/17,2,federal question,6,2,5,-8,"GOVERNMENT OF THE PROVI, ET AL",LOC,"NORTON, ET AL",FED,ST,GOVT ET AL,PLT,DEF,MOD,MOD,LOC,FED,2005,3,0-90-0202057-3
0-90-0202057,0-90-0202057,5,90,1,1,10/24/17,10/22/02,10/22/02,8/11/17,2,federal question,6,2,1,1,"GOVERNMENT OF THE PROVI, ET AL",LOC,"NORTON, ET AL",FED,STATE OF MISSOURI,GOVERNMENT OF THE PR,DEF,PLT,MOD,MOD,STA,LOC,2017,4,0-90-0202057-4
0-90-0202057,0-90-0202057,5,90,1,1,7/14/16,10/22/02,10/22/02,8/11/17,2,federal question,6,2,1,6,"GOVERNMENT OF THE PROVI, ET AL",LOC,"NORTON, ET AL",FED,STATE OF NORTH DAKOT,GOVERNMENT OF THE PR,DEF,PLT,STRONG,STRONG,STA,LOC,2016,5,0-90-0202057-5
0-90-0202349,0-90-0202349,1,90,1,1,5/27/04,11/27/02,11/27/02,3/29/04,2,US govt defendant,6,2,1,2,AMERICAN CHEMISTRY COUNCIL,LOC,WHITMAN,FED,AMER,LEAVITT ET AL,PLT,DEF,MOD,MOD,LOC,FED,2004,1,0-90-0202349-1
0-90-0202367,0-90-0202367,4,90,1,1,1/7/04,12/3/02,12/3/02,12/16/03,2,US govt defendant,17,3,4,-8,THE FUND FOR ANIMALS,NGO,NORTON,FED,BLUERIBBON ET AL,FUND ET AL,DEF,PLT,STRONG,STRONG,FED,NGO,2004,1,0-90-0202367-1
0-90-0202367,0-90-0202367,4,90,1,1,9/30/04,12/3/02,12/3/02,12/16/03,2,US govt defendant,17,3,4,-8,THE FUND FOR ANIMALS,NGO,NORTON,FED,BLUERIBBON ET AL,FUND ET AL,DEF,PLT,STRONG,STRONG,FED,NGO,2004,2,0-90-0202367-2
0-90-0202367,0-90-0202367,4,90,1,1,2/11/04,12/3/02,12/3/02,12/16/03,2,US govt defendant,17,3,4,-8,THE FUND FOR ANIMALS,NGO,NORTON,FED,NORTON ET AL,FUND ET AL,DEF,PLT,STRONG,STRONG,FED,NGO,2004,3,0-90-0202367-3
0-90-0202367,0-90-0202367,4,90,1,1,12/24/03,12/3/02,12/3/02,12/16/03,2,US govt defendant,17,3,4,-8,THE FUND FOR ANIMALS,NGO,NORTON,FED,ST ET AL,FUND ET AL,DEF,PLT,STRONG,STRONG,FED,NGO,2003,4,0-90-0202367-4
0-90-0300064,0-90-0300064,1,90,1,1,2/14/05,1/15/03,1/15/03,5/25/05,2,US govt defendant,6,-8,1,5,THE WILDERNESS SOCIETY,NGO,NORTON,FED,WLDRNES,NORTON ET AL,PLT,DEF,STRONG,STRONG,NGO,FED,2005,1,0-90-0300064-1
0-90-0300217,0-90-0300217,2,90,1,1,1/26/05,2/10/03,2/10/03,11/1/04,2,US govt defendant,6,3,5,-8,CAPE HATTERAS ACCESS PRESERVAT,NGO,UNITED STATES DEPARTMENT OF IN,FED,DEFENDERS ET AL,CAPE ET AL,DEF,PLT,MOD,MOD,NGO,NGO,2005,1,0-90-0300217-1
0-90-0300217,0-90-0300217,2,90,1,1,1/26/05,2/10/03,2/10/03,11/1/04,2,US govt defendant,6,3,5,-8,CAPE HATTERAS ACCESS PRESERVAT,NGO,UNITED STATES DEPARTMENT OF IN,FED,DOI ET AL,CAPE ET AL,DEF,PLT,MOD,MOD,FED,NGO,2005,2,0-90-0300217-2
0-90-0300241,0-90-0300241,4,90,1,1,7/15/03,2/13/03,2/13/03,11/26/03,2,US govt defendant,10,-8,5,-8,AMERICAN RIVERS,NGO,-8,UNKNOWN,MO ET AL,AMER ET AL,DEF,PLT,MOD,MOD,UNKNOWN,NGO,2003,1,0-90-0300241-1
0-90-0300241,0-90-0300241,4,90,1,1,7/15/03,2/13/03,2/13/03,11/26/03,2,US govt defendant,10,-8,5,-8,AMERICAN RIVERS,NGO,-8,UNKNOWN,ST ET AL,AMER ET AL,DEF,PLT,MOD,MOD,UNKNOWN,NGO,2003,2,0-90-0300241-2
0-90-0300241,0-90-0300241,4,90,1,1,7/29/03,2/13/03,2/13/03,11/26/03,2,US govt defendant,10,-8,5,-8,AMERICAN RIVERS,NGO,-8,UNKNOWN,ST ET AL,AMER ET AL,DEF,PLT,MOD,MOD,UNKNOWN,NGO,2003,3,0-90-0300241-3
0-90-0300241,0-90-0300241,4,90,1,1,7/15/03,2/13/03,2/13/03,11/26/03,2,US govt defendant,10,-8,5,-8,AMERICAN RIVERS,NGO,-8,UNKNOWN,US ET AL,AMER ET AL,DEF,PLT,MOD,MOD,FED,NGO,2003,4,0-90-0300241-4
0-90-0300369,0-90-0300369,1,90,1,1,5/28/04,2/26/03,2/26/03,7/22/04,2,US govt defendant,6,2,5,-8,CENTER FOR BIOLOGICAL DIVERSIT,NGO,VENEMAN,FED,CTR ET AL,VENEMAN ET AL,PLT,DEF,STRONG,STRONG,NGO,FED,2004,1,0-90-0300369-1
0-90-0300752,0-90-0300752,3,90,1,1,2/11/04,3/25/03,3/25/03,9/23/03,2,federal question,13,-8,4,-8,GREATER YELLOWSTONE COALITION,NGO,NORTON,FED,NORTON ET AL,GRTR ET AL,DEF,DEF,STRONG,STRONG,FED,FED,2004,1,0-90-0300752-1
0-90-0301244,0-90-0301244,1,90,1,1,5/13/08,6/10/03,6/10/03,4/1/08,2,US govt defendant,6,-8,1,1,MONTANANS FOR MULTIPLE USE,NGO,BARBOULETOS,FED,MONTANANS FOR MULTIP,SCHAFER,PLT,DEF,MOD,MOD,NGO,FED,2008,1,0-90-0301244-1
0-90-0301392,0-90-0301392,3,90,1,1,11/8/05,6/26/03,6/26/03,8/25/05,2,US govt defendant,6,2,5,-8,NATIONAL WILDLIFE FEDERATION,NGO,BROWNLEE,FED,AGRIPARTNERS ET,NATL,DEF,PLT,WEAK,WEAK,FED,NGO,2005,1,0-90-0301392-1
0-90-0301392,0-90-0301392,3,90,1,1,11/8/05,6/26/03,6/26/03,8/25/05,2,US govt defendant,6,2,5,-8,NATIONAL WILDLIFE FEDERATION,NGO,BROWNLEE,FED,HARVEY ET AL,NATL,DEF,PLT,STRONG,STRONG,FED,NGO,2005,2,0-90-0301392-2
0-90-0301392,0-90-0301392,3,90,1,1,11/8/05,6/26/03,6/26/03,8/25/05,2,US govt defendant,6,2,5,-8,NATIONAL WILDLIFE FEDERATION,NGO,BROWNLEE,FED,NATL ET AL,HARVEY,PLT,DEF,STRONG,STRONG,NGO,FED,2005,3,0-90-0301392-3
0-90-0301497,0-90-0301497,1,90,1,1,8/12/03,7/10/03,7/10/03,2/24/04,2,US govt defendant,12,-8,2,2,BORN FREE USA,NGO,NORTON,FED,BORN ET AL,NORTON ET AL,DEF,DEF,STRONG,STRONG,FED,FED,2003,1,0-90-0301497-1
0-90-0301540,0-90-0301540,1,90,1,1,5/31/05,7/17/03,7/17/03,11/22/05,2,US govt defendant,6,1,5,-8,CALIFORNIA NATIVE PLANT SOCIET,NGO,NORTON,FED,NORTON ET AL,CA ET AL,DEF,PLT,STRONG,STRONG,FED,NGO,2005,1,0-90-0301540-1
0-90-0302179,0-90-0302179,1,90,1,1,2/18/05,10/24/03,10/24/03,1/4/05,2,US govt defendant,3,-8,5,-8,GEM COUNTY MOSQUITO ABATEMENT,LOC,ENVIRONMENTAL PROTECTION AGENC,NGO,GEM ET AL,EPA ET AL,PLT,DEF,STRONG,STRONG,LOC,FED,2005,1,0-90-0302179-1
0-90-0302330,NA,1,NA,NA,1,9/23/04,11/20/03,NA,NA,2,NA,99,NA,1,2,NA,NA,NA,NA,NATL ET AL,MANSON ET AL,NA,NA,NA,NA,NGO,FED,2004,1,0-90-0302330-1
0-90-0400092,0-90-0400092,1,90,1,1,1/26/05,1/21/04,1/21/04,11/29/04,2,US govt defendant,6,2,1,2,FRIENDS OF THE EARTH,NGO,UNITED STATES ENVIRONMENTAL PR,FED,FRIENDS,EPA ET AL,PLT,DEF,STRONG,STRONG,NGO,FED,2005,1,0-90-0400092-1
0-90-0400810,0-90-0400810,3,90,1,1,12/2/05,5/18/04,5/18/04,8/2/05,2,US govt defendant,6,2,5,-8,"OCEANA, INC.",BIZ,EVANS,FED,FISHERIES,OCEANA ET AL,DEF,PLT,STRONG,STRONG,FED,BIZ,2005,1,0-90-0400810-1
0-90-0400810,0-90-0400810,3,90,1,1,11/30/05,5/18/04,5/18/04,8/2/05,2,US govt defendant,6,2,5,-8,"OCEANA, INC.",BIZ,EVANS,FED,GUTIERREZ,OCEANA ET AL,DEF,PLT,MOD,MOD,FED,BIZ,2005,2,0-90-0400810-2
0-90-0400810,0-90-0400810,3,90,1,1,11/30/05,5/18/04,5/18/04,8/2/05,2,US govt defendant,6,2,5,-8,"OCEANA, INC.",BIZ,EVANS,FED,OCEANA,GUTIERREZ ET A,PLT,DEF,MOD,MOD,BIZ,FED,2005,3,0-90-0400810-3
0-90-0400811,0-90-0400811,3,90,1,1,5/24/05,5/18/04,5/18/04,3/9/05,2,US govt defendant,6,-8,5,-8,"OCEANA, INC.",BIZ,EVANS,FED,CONSRVTN ET AL,OCEANA ET AL,DEF,PLT,MOD,MOD,FED,BIZ,2005,1,0-90-0400811-1
0-90-0400811,0-90-0400811,3,90,1,1,5/24/05,5/18/04,5/18/04,3/9/05,2,US govt defendant,6,-8,5,-8,"OCEANA, INC.",BIZ,EVANS,FED,EVANS ET AL,OCEANA ET AL,DEF,PLT,STRONG,STRONG,FED,BIZ,2005,2,0-90-0400811-2
0-90-0400811,0-90-0400811,3,90,1,1,5/24/05,5/18/04,5/18/04,3/9/05,2,US govt defendant,6,-8,1,5,"OCEANA, INC.",BIZ,EVANS,FED,OCEANA ET AL,CONSRVTN ET AL,PLT,DEF,MOD,MOD,BIZ,FED,2005,3,0-90-0400811-3
0-90-0401155,0-90-0401155,1,90,1,1,11/30/05,7/8/04,7/8/04,10/11/05,2,US govt defendant,14,-8,1,1,OCEAN CONSERVANCY,NGO,EVANS,FED,OCEAN ET AL,GUTIERREZ ET A,PLT,DEF,MOD,MOD,NGO,FED,2005,1,0-90-0401155-1
0-90-0401226,0-90-0401226,1,90,1,1,10/20/05,7/21/04,7/21/04,8/11/05,2,US govt defendant,14,-8,5,-8,"CITY OF TACOMA, WASHINGTON",LOC,NATIONAL MARINE FISHERIES SERV,FED,CITY,NATL ET AL,PLT,DEF,MOD,MOD,LOC,NGO,2005,1,0-90-0401226-1
0-90-0401230,0-90-0401230,1,90,1,1,4/16/12,7/22/04,7/22/04,9/29/06,2,US govt defendant,6,-8,5,-8,DEFENDERS OF WILDLIFE,NGO,NORTON,FED,SALAZAR,DEFENDERS OF WILDLIF,DEF,PLT,MOD,MOD,FED,NGO,2012,1,0-90-0401230-1
0-90-0401299,0-90-0401299,1,90,1,1,10/26/09,8/3/04,8/3/04,7/27/05,2,US govt defendant,12,-8,1,1,HARDIN,IND,LEAVITT,FED,HARDIN,JACKSON,PLT,PLT,STRONG,STRONG,IND,FED,2009,1,0-90-0401299-1
0-90-0401575,0-90-0401575,2,90,1,1,12/21/07,9/10/04,9/10/04,11/16/07,2,US govt defendant,14,-8,5,-8,ENVIRONMENTAL DEFENSE,NGO,UNITED STATES ARMY CORPS OF EN,FED,ENVIRONMENTAL DEFENS,U.S. ARMY CORPS OF E,PLT,DEF,STRONG,STRONG,NGO,FED,2007,1,0-90-0401575-1
0-90-0401575,0-90-0401575,2,90,1,1,11/19/07,9/10/04,9/10/04,11/16/07,2,US govt defendant,14,-8,5,-8,ENVIRONMENTAL DEFENSE,NGO,UNITED STATES ARMY CORPS OF EN,FED,U.S. ARMY CORPS OF E,ENVIRONMENTAL DEFENS,DEF,PLT,STRONG,STRONG,FED,NGO,2007,2,0-90-0401575-2
