CDD_ID_A,CDD_ID_D,CDD_ID_row,DISTRICT,OFFICE,DOFFICE,DKTDATE,DDKTDATE,JUDGDATE,FILEDATE,TERMDATE,JURIS,DJURIS,DISP,JUDGMENT,ADISP,OUTCOME,DPLT,DPLT_typ,DDEF,DDEF_typ,PLT,DEF,appellant_PLT_DEF,appellee_PLT_DEF,match_type,match_type_update,yr_file,yr_term,PLT_typ,DEF_typ,row_add,ID
0-90-0000379,0-90-0000379,2,90,1,1,2004-01-19,2000-02-28,2005-07-29,2000-02-28,2003-11-26,2,US govt defendant,14,-8,1,3,NATL ASSN HOME BLDR,OTHER,"US ARMY CORPS/ENG., ET AL",FED,NATL,US ET AL,PLT,DEF,STRONG,STRONG,2004,2005,OTHER,FED,1,0-90-0000379-1
0-90-0000558,0-90-0000558,1,90,1,1,2004-01-19,2000-03-16,2005-07-29,2000-03-16,2004-03-31,2,US govt defendant,14,-8,1,3,NAT'L STONE ASSOC.,BIZ,"US ARMY CORPS/ENG., ET AL",FED,NATL ET AL,US ET AL,PLT,DEF,STRONG,STRONG,2004,2005,BIZ,FED,1,0-90-0000558-1
0-90-0000785,0-90-0000785,1,90,1,1,2003-06-04,2000-04-11,2003-11-10,2000-04-11,2003-03-31,2,US govt defendant,6,2,5,-8,"SAN JUAN AUDUBON SOC, ET AL",NGO,WILDLIFE SERVICES,BIZ,SAN ET AL,WLDLF ET AL,PLT,DEF,STRONG,STRONG,2003,2003,NGO,BIZ,1,0-90-0000785-1
0-90-0001017,0-90-0001017,1,90,1,1,2001-10-23,2000-05-08,2002-08-26,2000-05-08,2001-08-20,2,US govt defendant,6,2,5,-8,"COOK INLET BELUGA, ET AL",BIZ,"DALEY, ET AL",FED,COOK ET AL,EVANS ET AL,PLT,DEF,MOD,MOD,2001,2002,BIZ,FED,1,0-90-0001017-1
0-90-0001134,0-90-0001134,1,90,1,1,2002-08-30,2000-05-19,2003-04-11,2000-05-19,2004-08-26,2,US govt defendant,6,-8,5,-8,"CONSERV LAW FOUND, ET AL",NGO,"DALEY, ET AL",FED,EVANS ET AL,CONSRVTN ET AL,DEF,PLT,MOD,MOD,2002,2003,FED,NGO,1,0-90-0001134-1
0-90-0001544,0-90-0001544,5,90,1,1,2000-10-26,2000-06-28,2003-09-02,2000-06-28,2003-03-31,2,US govt defendant,6,2,1,5,"DEFENDERS WILDLIFE, ET AL",NGO,"BABBITT, ET AL",FED,CTRL ET AL,DEFENDERS ET A,DEF,PLT,MOD,MOD,2000,2003,FED,NGO,1,0-90-0001544-1
0-90-0001544,0-90-0001544,5,90,1,1,2000-10-27,2000-06-28,2003-09-02,2000-06-28,2003-03-31,2,US govt defendant,6,2,1,5,"DEFENDERS WILDLIFE, ET AL",NGO,"BABBITT, ET AL",FED,SALT ET AL,DEFENDERS ET A,DEF,PLT,MOD,MOD,2000,2003,FED,NGO,2,0-90-0001544-2
0-90-0001544,0-90-0001544,5,90,1,1,2000-10-31,2000-06-28,2003-09-02,2000-06-28,2003-03-31,2,US govt defendant,6,2,1,5,"DEFENDERS WILDLIFE, ET AL",NGO,"BABBITT, ET AL",FED,SO ET AL,DEFENDERS ET A,DEF,PLT,MOD,MOD,2000,2003,FED,NGO,3,0-90-0001544-3
0-90-0001544,0-90-0001544,5,90,1,1,2000-11-13,2000-06-28,2003-09-02,2000-06-28,2003-03-31,2,US govt defendant,6,2,1,5,"DEFENDERS WILDLIFE, ET AL",NGO,"BABBITT, ET AL",FED,ST ET AL,DEFENDERS ET A,DEF,PLT,MOD,MOD,2000,2003,FED,NGO,4,0-90-0001544-4
0-90-0001544,0-90-0001544,5,90,1,1,2000-11-17,2000-06-28,2003-09-02,2000-06-28,2003-03-31,2,US govt defendant,6,2,1,5,"DEFENDERS WILDLIFE, ET AL",NGO,"BABBITT, ET AL",FED,ST ET AL,DEFENDERS ET A,DEF,PLT,MOD,MOD,2000,2003,FED,NGO,5,0-90-0001544-5
0-90-0002155,0-90-0002155,1,90,1,1,2004-02-17,2000-09-08,2005-07-08,2000-09-08,2003-12-24,2,US govt defendant,3,-8,1,1,"NATL ASSN HOME BLDRS, ET AL",OTHER,"BABBITT, ET AL",FED,NATL ET AL,NORTON ET AL,DEF,PLT,STRONG,STRONG,2004,2005,FED,FED,1,0-90-0002155-1
0-90-0002206,0-90-0002206,1,90,1,1,2002-09-11,2000-09-14,2002-10-10,2000-09-14,2002-07-10,2,US govt defendant,17,-8,5,-8,"SIERRA CLUB, ET AL",NGO,BROWNER,FED,WHITMAN ET AL,SIERRA,DEF,PLT,MOD,MOD,2002,2002,FED,NGO,1,0-90-0002206-1
0-90-0002339,0-90-0002339,1,90,1,1,2003-07-31,2000-09-29,2004-07-21,2000-09-29,2003-01-31,2,US govt defendant,6,1,5,-8,"AMER. LANDS ALLIANCE, ET AL",NGO,"BABBITT, ET AL",FED,NORTON ET AL,AMER ET AL,DEF,PLT,MOD,MOD,2003,2004,FED,NGO,1,0-90-0002339-1
0-90-0002521,0-90-0002521,1,90,1,1,2002-06-07,2000-10-23,2002-08-21,2000-10-23,2002-03-31,2,US govt defendant,6,1,5,-8,"AMERICAN WILDLANDS, ET AL",NGO,"BABBITT, ET AL",FED,NORTON ET AL,AMER ET AL,DEF,PLT,MOD,MOD,2002,2002,FED,NGO,1,0-90-0002521-1
0-90-0002798,0-90-0002798,1,90,1,1,2001-10-19,2000-11-20,2003-04-01,2000-11-20,2001-08-20,2,US govt defendant,6,2,1,1,RANCHO VIEJO LLC,BIZ,"BABBITT, ET AL",FED,RANCHO,NORTON ET AL,PLT,DEF,MOD,MOD,2001,2003,BIZ,FED,1,0-90-0002798-1
0-90-0002855,0-90-0002855,2,90,1,1,2003-04-23,2000-11-28,2004-03-02,2000-11-28,2003-03-31,2,US govt defendant,3,-8,1,2,GENERAL ELECTRIC CO.,BIZ,"BROWNER, ET AL",FED,GEN,EPA ET AL,PLT,DEF,MOD,MOD,2003,2004,BIZ,FED,1,0-90-0002855-1
0-90-0002855,0-90-0002855,2,90,1,1,2009-03-24,2000-11-28,2010-06-29,2000-11-28,2003-03-31,2,US govt defendant,3,-8,1,1,GENERAL ELECTRIC CO.,BIZ,"BROWNER, ET AL",FED,GENERAL ELECTRIC COM,JACKSON,PLT,DEF,MOD,MOD,2009,2010,BIZ,FED,2,0-90-0002855-2
0-90-0002996,0-90-0002996,1,90,1,1,2003-02-24,2000-12-14,2004-03-03,2000-12-14,2002-12-26,2,US govt defendant,6,1,1,2,"DEFENDERS OF WILD., ET AL",NGO,"BABBITT, ET AL",FED,NORTON ET AL,DEFENDERS ET A,DEF,PLT,MOD,MOD,2003,2004,FED,NGO,1,0-90-0002996-1
0-90-0003030,0-90-0003030,2,90,1,1,2003-12-16,2000-12-20,2004-05-10,2000-12-20,2004-08-19,2,US govt defendant,18,-8,5,-8,"BIODIVERSITY LEGAL, ET AL",NGO,"CLARK, ET AL",FED,BIODIVRSTY ET AL,NORTON,PLT,DEF,MOD,MOD,2003,2004,NGO,FED,1,0-90-0003030-1
0-90-0003030,0-90-0003030,2,90,1,1,2003-12-05,2000-12-20,2004-05-10,2000-12-20,2004-08-19,2,US govt defendant,18,-8,5,-8,"BIODIVERSITY LEGAL, ET AL",NGO,"CLARK, ET AL",FED,NORTON ET AL,BIODIVRSTY ET,DEF,PLT,MOD,MOD,2003,2004,FED,NGO,2,0-90-0003030-2
0-90-0003044,0-90-0003044,2,90,1,1,2002-05-17,2000-12-21,2003-01-23,2000-12-21,2002-05-31,2,US govt defendant,6,1,1,2,CTR/BIOLOGICAL DIV,NGO,"DANZIG, ET AL",FED,PIRIE,CTR ET AL,PLT,DEF,MOD,MOD,2002,2003,NGO,FED,1,0-90-0003044-1
0-90-0003044,0-90-0003044,2,90,1,1,2002-06-03,2000-12-21,2003-01-23,2000-12-21,2002-05-31,2,US govt defendant,6,1,1,2,CTR/BIOLOGICAL DIV,NGO,"DANZIG, ET AL",FED,RUMSFELD,CTR ET AL,DEF,PLT,MOD,MOD,2002,2003,FED,NGO,2,0-90-0003044-2
0-90-0100274,NA,4,NA,NA,1,2007-04-12,2004-03-31,2007-05-25,NA,NA,2,NA,99,NA,5,-8,NA,NA,NA,NA,NATL ET AL,US ET AL,NA,NA,NA,NA,2007,2007,NGO,FED,1,0-90-0100274-1
0-90-0100765,0-90-0100765,1,90,1,1,2003-12-09,2001-04-10,2004-05-07,2001-04-10,2002-09-24,2,US govt defendant,17,-8,5,-8,HAWAII LONGLINE ASSN,OTHER,"NATL MARINE SERVICE, ET AL",NGO,NATL ET AL,HI ET AL,DEF,PLT,MOD,MOD,2003,2004,NGO,OTHER,1,0-90-0100765-1
0-90-0100813,0-90-0100813,2,90,1,1,2003-12-31,2001-04-16,2004-07-09,2001-04-16,2003-07-31,2,US govt defendant,6,1,5,-8,"FUND FOR ANIMALS, ET AL",NGO,"NORTON, ET AL",FED,FUND ET AL,NORTON ET AL,PLT,DEF,STRONG,STRONG,2003,2004,NGO,FED,1,0-90-0100813-1
0-90-0100813,0-90-0100813,2,90,1,1,2001-10-04,2001-04-16,2003-03-18,2001-04-16,2003-07-31,2,US govt defendant,6,1,1,2,"FUND FOR ANIMALS, ET AL",NGO,"NORTON, ET AL",FED,NAT ET AL,FUND ET AL,DEF,PLT,STRONG,STRONG,2001,2003,FED,NGO,2,0-90-0100813-2
0-90-0101516,0-90-0101516,1,90,1,1,2002-07-31,2001-07-11,2003-09-12,2001-07-11,2002-06-13,2,US govt defendant,6,2,5,-8,"GREATER YELLOWSTONE, ET AL",NGO,"BOSWORTH, ET AL",FED,BOSWORTH ET AL,GRTR ET AL,DEF,PLT,STRONG,STRONG,2002,2003,FED,NGO,1,0-90-0101516-1
0-90-0101537,0-90-0101537,1,90,1,1,2006-07-31,2001-07-16,2006-09-19,2001-07-16,2006-03-31,2,US govt defendant,6,1,5,-8,SIERRA CLUB,NGO,WHITMAN,FED,JOHNSON,SIERRA,DEF,PLT,MOD,MOD,2006,2006,FED,NGO,1,0-90-0101537-1
0-90-0102011,0-90-0102011,1,90,1,1,2004-11-30,2001-09-24,2005-06-14,2001-09-24,2004-09-30,2,US govt defendant,6,-8,2,1,MONTANA SHOOTING SPORTS ASSOCI,BIZ,NORTON,FED,MT ET AL,NORTON ET AL,PLT,DEF,STRONG,STRONG,2004,2005,BIZ,FED,1,0-90-0102011-1
0-90-0102078,0-90-0102078,2,90,1,1,2003-03-13,2001-10-03,2005-11-04,2001-10-03,2003-02-25,2,US govt defendant,6,3,1,3,"FUND FOR ANIMALS, ET AL",NGO,"JONES, ET AL",IND,FUND ET AL,WILLIAMS ET AL,PLT,DEF,MOD,MOD,2003,2005,NGO,FED,1,0-90-0102078-1
0-90-0102078,0-90-0102078,2,90,1,1,2004-03-11,2001-10-03,2005-11-04,2001-10-03,2003-02-25,2,US govt defendant,6,3,1,3,"FUND FOR ANIMALS, ET AL",NGO,"JONES, ET AL",IND,FUND ET AL,WILLIAMS ET AL,PLT,DEF,MOD,MOD,2004,2005,NGO,FED,2,0-90-0102078-2
0-90-0102288,0-90-0102288,1,90,1,1,2001-12-12,2001-11-02,2002-08-27,2001-11-02,2001-12-13,2,US govt defendant,14,-8,5,-8,"FUND FOR ANIMALS, ET AL",NGO,"MAINELLA, ET AL",FED,FUND ET AL,MAINELLA ET AL,PLT,DEF,STRONG,STRONG,2001,2002,NGO,FED,1,0-90-0102288-1
0-90-0102340,0-90-0102340,1,90,1,1,2003-10-28,2001-11-08,2004-06-15,2001-11-08,2003-09-30,2,US govt defendant,6,2,5,-8,"WYOMING OUTDOOR, ET AL",STA,"BOSWORTH, ET AL",FED,WY ET AL,BOSWORTH ET AL,PLT,DEF,STRONG,STRONG,2003,2004,STA,FED,1,0-90-0102340-1
0-90-0201457,0-90-0201457,1,90,1,1,2003-06-23,2002-07-23,2004-04-30,2002-07-23,2003-04-23,2,US govt defendant,6,2,1,1,"CASTLEWOOD PRODUCT, ET AL",BIZ,"NORTON, ET AL",FED,INTERFOREST ET A,CASTLEWOOD ET,DEF,PLT,STRONG,STRONG,2003,2004,FED,BIZ,1,0-90-0201457-1
0-90-0201868,0-90-0201868,2,90,1,1,2003-02-24,2002-09-23,2003-04-11,2002-09-23,2002-12-23,2,US govt defendant,11,-8,5,-8,SOUTHERN UTAH WILDERNESS ALLIA,NGO,NORTON,FED,NORTON ET AL,SO ET AL,DEF,PLT,STRONG,STRONG,2003,2003,FED,NGO,1,0-90-0201868-1
0-90-0201868,0-90-0201868,2,90,1,1,2003-02-27,2002-09-23,2003-04-11,2002-09-23,2002-12-23,2,US govt defendant,11,-8,5,-8,SOUTHERN UTAH WILDERNESS ALLIA,NGO,NORTON,FED,UT ET AL,SO ET AL,PLT,DEF,STRONG,STRONG,2003,2003,NGO,FED,2,0-90-0201868-2
0-90-0202057,0-90-0202057,5,90,1,1,2017-10-24,2002-10-22,2018-06-27,2002-10-22,2017-08-11,2,federal question,6,2,5,-8,"GOVERNMENT OF THE PROVI, ET AL",LOC,"NORTON, ET AL",FED,GOVERNMENT OF THE PR,MIKKELSEN,PLT,DEF,STRONG,STRONG,2017,2018,LOC,FED,1,0-90-0202057-1
0-90-0202057,0-90-0202057,5,90,1,1,2005-06-30,2002-10-22,2006-04-13,2002-10-22,2017-08-11,2,federal question,6,2,5,-8,"GOVERNMENT OF THE PROVI, ET AL",LOC,"NORTON, ET AL",FED,NORTON,ST ET AL,DEF,PLT,STRONG,STRONG,2005,2006,FED,LOC,2,0-90-0202057-2
0-90-0202057,0-90-0202057,5,90,1,1,2005-06-30,2002-10-22,2006-04-13,2002-10-22,2017-08-11,2,federal question,6,2,5,-8,"GOVERNMENT OF THE PROVI, ET AL",LOC,"NORTON, ET AL",FED,ST,GOVT ET AL,PLT,DEF,MOD,MOD,2005,2006,LOC,FED,3,0-90-0202057-3
0-90-0202057,0-90-0202057,5,90,1,1,2017-10-24,2002-10-22,2019-05-03,2002-10-22,2017-08-11,2,federal question,6,2,1,1,"GOVERNMENT OF THE PROVI, ET AL",LOC,"NORTON, ET AL",FED,STATE OF MISSOURI,GOVERNMENT OF THE PR,DEF,PLT,MOD,MOD,2017,2019,STA,LOC,4,0-90-0202057-4
0-90-0202057,0-90-0202057,5,90,1,1,2016-07-14,2002-10-22,2017-03-03,2002-10-22,2017-08-11,2,federal question,6,2,1,6,"GOVERNMENT OF THE PROVI, ET AL",LOC,"NORTON, ET AL",FED,STATE OF NORTH DAKOT,GOVERNMENT OF THE PR,DEF,PLT,STRONG,STRONG,2016,2017,STA,LOC,5,0-90-0202057-5
0-90-0202349,0-90-0202349,1,90,1,1,2004-05-27,2002-11-27,2005-05-10,2002-11-27,2004-03-29,2,US govt defendant,6,2,1,2,AMERICAN CHEMISTRY COUNCIL,LOC,WHITMAN,FED,AMER,LEAVITT ET AL,PLT,DEF,MOD,MOD,2004,2005,LOC,FED,1,0-90-0202349-1
0-90-0202367,0-90-0202367,4,90,1,1,2004-01-07,2002-12-03,2005-02-16,2002-12-03,2003-12-16,2,US govt defendant,17,3,4,-8,THE FUND FOR ANIMALS,NGO,NORTON,FED,BLUERIBBON ET AL,FUND ET AL,DEF,PLT,STRONG,STRONG,2004,2005,FED,NGO,1,0-90-0202367-1
0-90-0202367,0-90-0202367,4,90,1,1,2004-09-30,2002-12-03,2005-02-16,2002-12-03,2003-12-16,2,US govt defendant,17,3,4,-8,THE FUND FOR ANIMALS,NGO,NORTON,FED,BLUERIBBON ET AL,FUND ET AL,DEF,PLT,STRONG,STRONG,2004,2005,FED,NGO,2,0-90-0202367-2
0-90-0202367,0-90-0202367,4,90,1,1,2004-02-11,2002-12-03,2005-02-16,2002-12-03,2003-12-16,2,US govt defendant,17,3,4,-8,THE FUND FOR ANIMALS,NGO,NORTON,FED,NORTON ET AL,FUND ET AL,DEF,PLT,STRONG,STRONG,2004,2005,FED,NGO,3,0-90-0202367-3
0-90-0202367,0-90-0202367,4,90,1,1,2003-12-24,2002-12-03,2005-02-16,2002-12-03,2003-12-16,2,US govt defendant,17,3,4,-8,THE FUND FOR ANIMALS,NGO,NORTON,FED,ST ET AL,FUND ET AL,DEF,PLT,STRONG,STRONG,2003,2005,FED,NGO,4,0-90-0202367-4
0-90-0300064,0-90-0300064,1,90,1,1,2005-02-14,2003-01-15,2006-01-17,2003-01-15,2005-05-25,2,US govt defendant,6,-8,1,5,THE WILDERNESS SOCIETY,NGO,NORTON,FED,WLDRNES,NORTON ET AL,PLT,DEF,STRONG,STRONG,2005,2006,NGO,FED,1,0-90-0300064-1
0-90-0300217,0-90-0300217,2,90,1,1,2005-01-26,2003-02-10,2005-03-11,2003-02-10,2004-11-01,2,US govt defendant,6,3,5,-8,CAPE HATTERAS ACCESS PRESERVAT,NGO,UNITED STATES DEPARTMENT OF IN,FED,DEFENDERS ET AL,CAPE ET AL,DEF,PLT,MOD,MOD,2005,2005,NGO,NGO,1,0-90-0300217-1
0-90-0300217,0-90-0300217,2,90,1,1,2005-01-26,2003-02-10,2005-03-11,2003-02-10,2004-11-01,2,US govt defendant,6,3,5,-8,CAPE HATTERAS ACCESS PRESERVAT,NGO,UNITED STATES DEPARTMENT OF IN,FED,DOI ET AL,CAPE ET AL,DEF,PLT,MOD,MOD,2005,2005,FED,NGO,2,0-90-0300217-2
0-90-0300241,0-90-0300241,4,90,1,1,2003-07-15,2003-02-13,2003-12-04,2003-02-13,2003-11-26,2,US govt defendant,10,-8,5,-8,AMERICAN RIVERS,NGO,-8,FED,MO ET AL,AMER ET AL,DEF,PLT,MOD,MOD,2003,2003,FED,NGO,1,0-90-0300241-1
0-90-0300241,0-90-0300241,4,90,1,1,2003-07-15,2003-02-13,2003-12-04,2003-02-13,2003-11-26,2,US govt defendant,10,-8,5,-8,AMERICAN RIVERS,NGO,-8,FED,ST ET AL,AMER ET AL,DEF,PLT,MOD,MOD,2003,2003,FED,NGO,2,0-90-0300241-2
0-90-0300241,0-90-0300241,4,90,1,1,2003-07-29,2003-02-13,2003-12-04,2003-02-13,2003-11-26,2,US govt defendant,10,-8,5,-8,AMERICAN RIVERS,NGO,-8,FED,ST ET AL,AMER ET AL,DEF,PLT,MOD,MOD,2003,2003,FED,NGO,3,0-90-0300241-3
0-90-0300241,0-90-0300241,4,90,1,1,2003-07-15,2003-02-13,2003-12-04,2003-02-13,2003-11-26,2,US govt defendant,10,-8,5,-8,AMERICAN RIVERS,NGO,-8,FED,US ET AL,AMER ET AL,DEF,PLT,MOD,MOD,2003,2003,FED,NGO,4,0-90-0300241-4
0-90-0300369,0-90-0300369,1,90,1,1,2004-05-28,2003-02-26,2004-07-07,2003-02-26,2004-07-22,2,US govt defendant,6,2,5,-8,CENTER FOR BIOLOGICAL DIVERSIT,NGO,VENEMAN,FED,CTR ET AL,VENEMAN ET AL,PLT,DEF,STRONG,STRONG,2004,2004,NGO,FED,1,0-90-0300369-1
0-90-0300752,0-90-0300752,3,90,1,1,2004-02-11,2003-03-25,2005-02-16,2003-03-25,2003-09-23,2,federal question,13,-8,4,-8,GREATER YELLOWSTONE COALITION,NGO,NORTON,FED,NORTON ET AL,GRTR ET AL,DEF,DEF,STRONG,STRONG,2004,2005,FED,FED,1,0-90-0300752-1
0-90-0301244,0-90-0301244,1,90,1,1,2008-05-13,2003-06-10,2009-06-05,2003-06-10,2008-04-01,2,US govt defendant,6,-8,1,1,MONTANANS FOR MULTIPLE USE,NGO,BARBOULETOS,FED,MONTANANS FOR MULTIP,SCHAFER,PLT,DEF,MOD,MOD,2008,2009,NGO,FED,1,0-90-0301244-1
0-90-0301392,0-90-0301392,3,90,1,1,2005-11-08,2003-06-26,2006-01-10,2003-06-26,2005-08-25,2,US govt defendant,6,2,5,-8,NATIONAL WILDLIFE FEDERATION,NGO,BROWNLEE,FED,AGRIPARTNERS ET,NATL,DEF,PLT,WEAK,WEAK,2005,2006,FED,NGO,1,0-90-0301392-1
0-90-0301392,0-90-0301392,3,90,1,1,2005-11-08,2003-06-26,2006-01-10,2003-06-26,2005-08-25,2,US govt defendant,6,2,5,-8,NATIONAL WILDLIFE FEDERATION,NGO,BROWNLEE,FED,HARVEY ET AL,NATL,DEF,PLT,STRONG,STRONG,2005,2006,FED,NGO,2,0-90-0301392-2
0-90-0301392,0-90-0301392,3,90,1,1,2005-11-08,2003-06-26,2006-01-10,2003-06-26,2005-08-25,2,US govt defendant,6,2,5,-8,NATIONAL WILDLIFE FEDERATION,NGO,BROWNLEE,FED,NATL ET AL,HARVEY,PLT,DEF,STRONG,STRONG,2005,2006,NGO,FED,3,0-90-0301392-3
0-90-0301497,0-90-0301497,1,90,1,1,2003-08-12,2003-07-10,2004-01-21,2003-07-10,2004-02-24,2,US govt defendant,12,-8,2,2,BORN FREE USA,NGO,NORTON,FED,BORN ET AL,NORTON ET AL,DEF,DEF,STRONG,STRONG,2003,2004,FED,FED,1,0-90-0301497-1
0-90-0301540,0-90-0301540,1,90,1,1,2005-05-31,2003-07-17,2005-07-27,2003-07-17,2005-11-22,2,US govt defendant,6,1,5,-8,CALIFORNIA NATIVE PLANT SOCIET,NGO,NORTON,FED,NORTON ET AL,CA ET AL,DEF,PLT,STRONG,STRONG,2005,2005,FED,NGO,1,0-90-0301540-1
0-90-0302179,0-90-0302179,1,90,1,1,2005-02-18,2003-10-24,2005-09-08,2003-10-24,2005-01-04,2,US govt defendant,3,-8,5,-8,GEM COUNTY MOSQUITO ABATEMENT,LOC,ENVIRONMENTAL PROTECTION AGENC,FED,GEM ET AL,EPA ET AL,PLT,DEF,STRONG,STRONG,2005,2005,LOC,FED,1,0-90-0302179-1
0-90-0302330,NA,1,NA,NA,1,2004-09-23,2003-11-20,2005-07-01,NA,NA,2,NA,99,NA,1,2,NA,NA,NA,NA,NATL ET AL,MANSON ET AL,NA,NA,NA,NA,2004,2005,NGO,FED,1,0-90-0302330-1
0-90-0400092,0-90-0400092,1,90,1,1,2005-01-26,2004-01-21,2006-04-25,2004-01-21,2004-11-29,2,US govt defendant,6,2,1,2,FRIENDS OF THE EARTH,NGO,UNITED STATES ENVIRONMENTAL PR,FED,FRIENDS,EPA ET AL,PLT,DEF,STRONG,STRONG,2005,2006,NGO,FED,1,0-90-0400092-1
0-90-0400810,0-90-0400810,3,90,1,1,2005-12-02,2004-05-18,2006-07-17,2004-05-18,2005-08-02,2,US govt defendant,6,2,5,-8,"OCEANA, INC.",NGO,EVANS,FED,FISHERIES,OCEANA ET AL,DEF,PLT,STRONG,STRONG,2005,2006,FED,NGO,1,0-90-0400810-1
0-90-0400810,0-90-0400810,3,90,1,1,2005-11-30,2004-05-18,2006-07-17,2004-05-18,2005-08-02,2,US govt defendant,6,2,5,-8,"OCEANA, INC.",NGO,EVANS,FED,GUTIERREZ,OCEANA ET AL,DEF,PLT,MOD,MOD,2005,2006,FED,NGO,2,0-90-0400810-2
0-90-0400810,0-90-0400810,3,90,1,1,2005-11-30,2004-05-18,2006-07-17,2004-05-18,2005-08-02,2,US govt defendant,6,2,5,-8,"OCEANA, INC.",NGO,EVANS,FED,OCEANA,GUTIERREZ ET A,PLT,DEF,MOD,MOD,2005,2006,NGO,FED,3,0-90-0400810-3
0-90-0400811,0-90-0400811,3,90,1,1,2005-05-24,2004-05-18,2005-08-16,2004-05-18,2005-03-09,2,US govt defendant,6,-8,5,-8,"OCEANA, INC.",NGO,EVANS,FED,CONSRVTN ET AL,OCEANA ET AL,DEF,PLT,MOD,MOD,2005,2005,FED,NGO,1,0-90-0400811-1
0-90-0400811,0-90-0400811,3,90,1,1,2005-05-24,2004-05-18,2005-10-28,2004-05-18,2005-03-09,2,US govt defendant,6,-8,5,-8,"OCEANA, INC.",NGO,EVANS,FED,EVANS ET AL,OCEANA ET AL,DEF,PLT,STRONG,STRONG,2005,2005,FED,NGO,2,0-90-0400811-2
