fjc_ID,CIRCUIT,DISTRICT,OFFICE,DOCKET,FILEDATE,TERMDATE,PLT,PLT_typ,DEF,DEF_typ,DISP
6-48-9800451-2001-04-09-1,6,48,3,9800451,2001-04-09,2001-04-24,USA,FED,"DAYTON POWER & LIGHT, ET AL",BIZ,5
11-3C-9910061-1999-06-04-1,11,3C,4,9910061,1999-06-04,1999-08-12,"UNITED STATES, ET AL",FED,"ATLAS SHIPPING CO., ET AL",BIZ,5
5-3N-2200468-2022-07-13-1,5,3N,3,2200468,2022-07-13,2022-10-17,"UNITED STATES OF AMERIC, ET AL",FED,"PCS NITROGEN FERTILIZER, L.P.",BIZ,5
3-91-1700038-2017-05-31-1,3,91,3,1700038,2017-05-31,2018-03-27,UNITED STATES OF AMERICA,FED,CYRIL V. FRANCOIS ASSOCIATES L,BIZ,14
4-19-1900202-2019-04-29-1,4,19,3,1900202,2019-04-29,2022-08-05,UNITED STATES OF AMERICA,FED,"GODLEY, ET AL",IND,7
9-79-9201473-1992-11-23-1,9,79,3,9201473,1992-11-23,1993-02-05,USA,FED,"GNB/CHLORIDE WESTERN, ET AL",BIZ,13
5-41-1803368-2018-09-20-1,5,41,4,1803368,2018-09-20,2021-03-31,"UNITED STATES OF AMERIC, ET AL",FED,"CITY OF HOUSTON, TEXAS",LOC,14
8-62-8803092-1988-08-26-1,8,62,3,8803092,1988-08-26,1988-11-23,COMMITTEE FOR PRESERV ETAL,FED,US ARMY CORP ETAL,FED,13
3-15-9202363-1992-12-07-1,3,15,2,9202363,1992-12-07,1993-10-05,U.S.A.,FED,CAMPBELL,IND,5
5-40-9900083-1999-04-26-1,5,40,2,9900083,1999-04-26,1999-07-16,USA,FED,TURNER,FED,12
10-83-9602152-1996-04-01-1,10,83,2,9602152,1996-04-01,1998-07-28,USA,FED,"TEXACO PIPELINE INC, ET AL",BIZ,5
6-48-9000165-1990-02-23-1,6,48,2,9000165,1990-02-23,1991-07-22,USA,FED,"COSHOCTON CITY OF, ET AL",LOC,5
9-80-8800676-1988-12-15-1,9,80,2,8800676,1988-12-15,1989-06-15,USA,FED,MOYER,IND,9
2-05-0400242-2004-02-11-1,2,05,3,0400242,2004-02-11,2004-02-23,USA,FED,SPORTING GOODS PROP INC,BIZ,13
9-79-9906256-1999-10-20-1,9,79,6,9906256,1999-10-20,2000-01-20,USA,FED,PEILE,BIZ,5
9-73-9603980-1996-06-05-1,9,73,2,9603980,1996-06-05,1996-09-20,USA,FED,UNION OIL CO OF CA,BIZ,5
7-55-9200636-1992-10-07-1,7,55,3,9200636,1992-10-07,1999-03-18,USA,FED,FISHER,FED,5
2-05-8700286-1987-07-02-1,2,05,3,8700286,1987-07-02,1987-09-15,UNITED STATES OF AMERICA,FED,THE B.F. GOODRICH COMPANY,BIZ,13
11-29-0700530-2007-12-18-1,11,29,3,0700530,2007-12-18,2009-08-04,"FISHER, ET AL",FED,"KEMPTHORNE, ET AL",FED,6
5-38-0300492-2004-05-10-1,5,38,1,0300492,2004-05-10,2004-12-13,"SULLIVAN, ET AL",FED,"JACKSON COUNTY, ET AL",LOC,13
2-06-0100507-2001-04-06-1,2,06,1,0100507,2001-04-06,2002-02-08,CHOA,FED,"DONNA-TECH, INC.",BIZ,5
6-44-0900062-2009-07-23-1,6,44,4,0900062,2009-07-23,2009-07-30,"UNITED STATES OF AMERIC, ET AL",FED,SOUTHWIRE COMPANY,BIZ,13
1-00-1500350-2015-08-26-1,1,00,1,1500350,2015-08-26,2015-11-13,"UNITED STATES OF AMERIC, ET AL",FED,CITY OF BANGOR MAINE,LOC,5
9-71-0900186-2009-01-15-1,9,71,3,0900186,2009-01-15,2014-09-22,"UNITED STATES OF AMERIC, ET AL",FED,EAST BAY MUNICIPAL UTILITY DIS,LOC,5
4-25-0501000-2005-12-07-1,4,25,2,0501000,2005-12-07,2006-05-08,BROWN,FED,RAWL SALES AND PROCESSING COMP,BIZ,1
10-84-9700210-1997-02-19-1,10,84,1,9700210,1997-02-19,2000-03-03,USA,FED,SPARTON TECHNOLOGY,BIZ,5
3-15-1800520-2018-04-23-1,3,15,2,1800520,2018-04-23,2018-07-09,"UNITED STATES OF AMERIC, ET AL",FED,"MARKWEST LIBERTY MIDSTR, ET AL",BIZ,13
5-3L-9503645-1995-11-03-1,5,3L,2,9503645,1995-11-03,1996-03-26,"CAIN, ET AL",FED,"GAYLORD CHEM CORP, ET AL",BIZ,3
7-55-8900051-1989-03-16-1,7,55,1,8900051,1989-03-16,1989-06-05,UNITED STATES OF AMERICA,FED,"AUBURN FOUNDRY, INC.",BIZ,5
9-79-1601221-2016-06-23-1,9,79,1,1601221,2016-06-23,2017-03-21,UNITED STATES,FED,20 ACRES MORE OR LESS OF THE F,BIZ,12
5-36-8202285-1986-02-05-1,5,36,3,8202285,1986-02-05,1986-08-27,USA,FED,EAMES,IND,5
2-08-1909600-2019-10-17-1,2,08,7,1909600,2019-10-17,1900-01-01,UNITED STATES OF AMERICA,FED,"FORD, ET AL",IND,-8
5-3L-0803371-2008-05-12-1,5,3L,2,0803371,2008-05-12,2010-01-20,HALL,FED,"EXPERT OIL AND GAS, LLC",BIZ,12
9-81-0301179-2003-05-22-1,9,81,2,0301179,2003-05-22,2004-02-18,USA,FED,TODD PACIFIC SHIP,BIZ,17
9-70-8700650-1987-09-02-1,9,70,4,8700650,1987-09-02,1992-06-12,USA,FED,KIPNIS ET AL,IND,14
9-77-1200004-2012-01-10-1,9,77,6,1200004,2012-01-10,2012-08-24,UNITED STATES OF AMERICA,FED,LINCOLN ROAD RV PARK,BIZ,5
3-12-0305897-2003-12-15-1,3,12,1,0305897,2003-12-15,2004-02-17,USA,FED,STEPAN COMPANY,BIZ,13
8-64-9901105-1999-07-20-1,8,64,0,9901105,1999-07-20,2001-02-06,USA,FED,METROPOLITAN COUNCIL,LOC,5
2-06-8801211-1988-11-17-1,2,06,1,8801211,1988-11-17,1988-12-08,USA,FED,PENN CAN SHOPPING MALL ETL,BIZ,14
8-62-0401050-2004-12-01-1,8,62,2,0401050,2004-12-01,2006-11-29,UNITED STATES OF AMERICA,FED,AGRIPROCESSORS INC,BIZ,5
11-3C-9607148-1996-10-04-1,11,3C,0,9607148,1996-10-04,1996-10-10,UNITED STATES,FED,BROWARD COUNTY,LOC,5
5-39-2100182-2021-09-30-1,5,39,1,2100182,2021-09-30,2022-02-03,UNITED STATES OF AMERICA,FED,"WTG GAS PROCESSING LP, ET AL",BIZ,5
9-79-0700242-2007-02-20-1,9,79,3,0700242,2007-02-20,2007-02-27,UNITED STATES OF AMERICA,FED,"FRED MEYER STORES, INC.",BIZ,5
7-55-8700377-1987-07-01-1,7,55,3,8700377,1987-07-01,1992-12-09,USA,FED,AM GENL CORP,BIZ,6
11-27-8701390-1987-12-14-1,11,27,3,8701390,1987-12-14,1989-02-10,USA,FED,UNIROYAL GOODRICH CO,BIZ,5
9-78-8900553-1989-08-22-1,9,78,3,8900553,1989-08-22,1991-11-08,UNITED STATES OF AMERICA,FED,CAL NEVA LODGE,BIZ,5
9-71-2001049-2020-02-10-1,9,71,3,2001049,2020-02-10,2023-04-24,DEPARTMENT OF TOXIC SUBSTANCES,FED,"ROSSI, ET AL",IND,6
9-72-9000165-1990-03-21-1,9,72,1,9000165,1990-03-21,1990-06-12,USA,FED,SANTA FE ENERGY CO.,BIZ,13
7-52-8720315-1987-06-18-1,7,52,3,8720315,1987-06-18,1989-04-19,USA,FED,MODERN PLATING CORP,BIZ,5
10-85-8601054-1986-11-25-1,10,85,4,8601054,1986-11-25,1990-11-30,U S,FED,GEO PLEX CORP,BIZ,6
11-3A-8900497-1989-06-09-1,11,3A,3,8900497,1989-06-09,1991-05-01,USA,FED,GENERAL LAMINATES,BIZ,6
7-55-9800464-1998-08-06-1,7,55,2,9800464,1998-08-06,1999-03-23,"USA, ET AL",FED,USX CORPORATION,BIZ,5
4-20-0101304-2001-04-05-1,4,20,7,0101304,2001-04-05,2005-02-09,GEE,FED,"IMC GLOBAL INC, ET AL",BIZ,13
6-45-8404459-1987-12-01-1,6,45,2,8404459,1987-12-01,1988-04-29,USA,FED,FORD MOTOR CO,BIZ,5
3-13-9806378-1998-12-09-1,3,13,2,9806378,1998-12-09,1998-12-11,UNITED STATES OF AM.,FED,ISLAND REALTY CORP.,BIZ,13
10-88-9900182-1999-03-22-1,10,88,2,9900182,1999-03-22,2000-01-31,USA,FED,BUTERFIELD JOINT VEN,BIZ,5
2-05-9900470-1999-03-16-1,2,05,3,9900470,1999-03-16,1999-06-03,"USA, ET AL",FED,"COMMERCIAL AUTO BODY, ET AL",BIZ,5
4-23-9800108-1998-11-17-1,4,23,3,9800108,1998-11-17,1999-11-19,THOMAS,FED,"JARRETT CONTRACTORS, ET AL",BIZ,13
10-83-0501126-2005-05-02-1,10,83,6,0501126,2005-05-02,2005-05-04,USA,FED,-8,UNKNOWN,13
1-01-1212175-2012-11-21-1,1,01,1,1212175,2012-11-21,2013-02-07,UNITED STATES  OF AMERICA,FED,TEXAS INSTRUMENTS INCORPORATED,BIZ,5
1-04-0801825-2008-07-31-1,1,04,3,0801825,2008-07-31,2008-09-12,UNITED STATES OF AMERICA,FED,BACARDI CORPORATION,BIZ,13
7-56-8900418-1989-04-24-1,7,56,1,8900418,1989-04-24,1989-09-27,US,FED,NAVISTAR INT'L TRANSPORT CO,BIZ,5
9-70-0900542-2009-09-23-1,9,70,4,0900542,2009-09-23,2009-12-15,UNITED STATES OF AMERICA,FED,"APACHE NITROGEN PRODUCTS, INC.",BIZ,5
10-82-9701611-2009-10-28-1,10,82,1,9701611,2009-10-28,2010-04-01,USA,FED,"DENVER, CITY AND COUNTY OF",LOC,5
6-46-9200365-1992-05-29-1,6,46,1,9200365,1992-05-29,1992-08-03,USA,FED,"FOLKERTSMA, ET AL",IND,14
1-01-9610722-1996-04-05-1,1,01,1,9610722,1996-04-05,1996-10-10,USA,FED,CAMBRIDGE PLATING CO,BIZ,5
5-36-2100970-2021-04-12-1,5,36,2,2100970,2021-04-12,2021-06-30,USA,FED,"AXIALL CORP, ET AL",BIZ,5
4-24-1200019-2012-02-06-1,4,24,5,1200019,2012-02-06,2012-03-06,"UNITED STATES OF AMERIC, ET AL",FED,"RG STEEL WHEELING, LLC, ET AL",BIZ,12
10-82-2002939-2020-09-29-1,10,82,1,2002939,2020-09-29,2021-05-17,"USA, ET AL",FED,"TCI PACIFIC COMMUNICATIONS, LL",LOC,0
3-14-9100515-1991-04-17-1,3,14,4,9100515,1991-04-17,1991-08-27,USA,FED,PARTHEMER,IND,13
2-09-9306184-1993-04-26-1,2,09,6,9306184,1993-04-26,1993-06-24,UNITED STATES,FED,PUROLATOR PRODUCTS,BIZ,5
5-41-8800010-1988-01-05-1,5,41,4,8800010,1988-01-05,1990-03-08,UNITED STATES OF AMERICA,FED,"FAMBROUGH, JOSEPH",IND,14
6-47-1701517-2017-07-19-1,6,47,1,1701517,2017-07-19,2019-03-19,UNITED STATES OF AMERICA,FED,"CLEVELAND HEIGHTS, OHIO, ET AL",LOC,14
3-12-8703398-1987-08-19-1,3,12,2,8703398,1987-08-19,1987-11-30,U.S.A.,FED,ALLAN FINISHING CORP.,BIZ,5
3-12-9100809-2005-02-18-1,3,12,3,9100809,2005-02-18,2007-10-31,USA,FED,"PRINCETON GAMMA TECH, ET AL",BIZ,13
1-04-1701742-2017-06-01-1,1,04,3,1701742,2017-06-01,2017-07-31,"UNITED STATES DEPARTMEN, ET AL",FED,PORT STEWART GMBH&CO. KG OF GE,BIZ,5
6-49-8800514-1988-06-30-1,6,49,3,8800514,1988-06-30,1989-05-23,USA,FED,DARNETT ETL,IND,12
1-04-8300105-1983-01-19-1,1,04,3,8300105,1983-01-19,1988-09-30,U S A,FED,P R AQUEDUCT AND SEWER,LOC,5
10-89-8600316-1986-09-09-1,10,89,2,8600316,1986-09-09,1987-10-14,USA,FED,TUTEN ETAL,IND,5
3-12-9003068-1996-01-22-1,3,12,3,9003068,1996-01-22,1997-03-19,USA,FED,"USX CORPORATION, ET AL",BIZ,13
1-02-9200519-1992-10-07-1,1,02,1,9200519,1992-10-07,1992-10-16,"USA, ET AL",FED,"BAIRD CORPORATION, ET AL",BIZ,18
10-82-1602171-2016-08-29-1,10,82,1,1602171,2016-08-29,2016-09-12,HARVEY,FED,"VOLKSWAGEN GROUP OF AME, ET AL",BIZ,10
6-43-0700075-2007-03-12-1,6,43,5,0700075,2007-03-12,2009-03-17,USA,FED,KENTUCKY UTILITIES COMPANY,BIZ,13
9-73-8805010-1988-08-16-1,9,73,2,8805010,1988-08-16,1989-01-06,USA,FED,SHELL OIL CO,BIZ,5
9-81-0305107-2003-03-03-1,9,81,3,0305107,2003-03-03,2003-09-15,USA,FED,"ANDERSON, ET AL",IND,5
7-56-0000049-2000-03-13-1,7,56,3,0000049,2000-03-13,2000-06-16,UNITED STATES OF AMERICA,FED,ALCOA INC,BIZ,5
10-87-8900554-1989-03-30-1,10,87,5,8900554,1989-03-30,1989-07-13,UNITED STATES OF AMERICA,FED,"CITY OF LAWTON, OKLAHOMA",LOC,5
1-02-0700060-2007-03-05-1,1,02,1,0700060,2007-03-05,2008-07-22,USA,FED,EXXONMOBIL CORPORATION,BIZ,5
4-23-9300864-1993-11-17-1,4,23,7,9300864,1993-11-17,2000-06-02,USA,FED,HOECHST CELANESE COR,BIZ,13
4-18-8900231-1989-03-31-1,4,18,3,8900231,1989-03-31,2007-03-28,USA,FED,"TAYLOR, ET AL",IND,13
6-44-9000232-1990-03-28-1,6,44,3,9000232,1990-03-28,1997-10-14,USA,FED,SMITH ETAL,IND,5
3-12-0301758-2003-04-17-1,3,12,2,0301758,2003-04-17,2003-07-09,UNITED STATES,FED,"WYETH, ET AL",IND,13
3-13-9104868-2001-03-28-1,3,13,2,9104868,2001-03-28,2001-03-29,UNITED STATES,FED,"BERKS ASSOCIATES INC, ET AL",BIZ,5
9-76-9200328-1992-08-21-1,9,76,1,9200328,1992-08-21,1993-03-25,USA,FED,"MARK, ET AL",IND,14
8-66-9100675-1991-07-31-1,8,66,4,9100675,1991-07-31,1991-12-03,USA,FED,GATES ENERGY PRODUCT,BIZ,13
6-48-9400260-1994-06-16-1,6,48,3,9400260,1994-06-16,1994-07-01,USA,FED,TEXTRON INC,BIZ,5
8-64-9600959-1996-03-29-1,8,64,4,9600959,1996-03-29,1996-12-03,"USA, ET AL",FED,"GENERAL ELECTRIC COM, ET AL",BIZ,5
6-51-9502361-1995-05-12-1,6,51,2,9502361,1995-05-12,2001-02-07,USA,FED,"ODABASHIAN, ET AL",IND,14
7-52-9404184-1994-07-11-1,7,52,1,9404184,1994-07-11,1995-05-25,"SHAPIRO, ET AL",FED,"F & M MECH CONTR LTD, ET AL",BIZ,4
4-25-0300253-2003-03-24-1,4,25,2,0300253,2003-03-24,2003-06-02,USA,FED,BD OIL GATHERING,BIZ,14
5-38-0300432-2003-05-12-1,5,38,1,0300432,2003-05-12,2004-01-12,"MCDANIEL, ET AL",FED,"JACKSON COUNTY, ET AL",LOC,18
9-76-9900606-1999-12-23-1,9,76,3,9900606,1999-12-23,2000-08-25,"USA, ET AL",FED,UNION PACIFIC RR CO,BIZ,5
8-62-1101011-2011-04-25-1,8,62,2,1101011,2011-04-25,2011-06-27,"UNITED STATES OF AMERIC, ET AL",FED,"CITY OF DUBUQUE, IOWA",LOC,5
3-13-9904402-1999-09-01-1,3,13,2,9904402,1999-09-01,2000-01-14,UNITED STATES,FED,"ACTION MANUFACTUR, ET AL",BIZ,5
4-20-9202206-1992-08-04-1,4,20,4,9202206,1992-08-04,1992-08-12,USA,FED,AIRPORT PROPERTIES,BIZ,13
1-00-0300157-2003-06-26-1,1,00,2,0300157,2003-06-26,2003-09-03,USA,FED,TUCKAHOE LAND INVESTMENT CO,BIZ,5
8-64-0502245-2005-09-27-1,8,64,0,0502245,2005-09-27,2008-03-31,UNITED STATES OF AMERICA,FED,BAILEY,IND,6
11-3A-8701430-1987-09-23-1,11,3A,8,8701430,1987-09-23,1987-12-15,UNITED STATES OF AMERICA,FED,GENERAL DEVELOPMENT,BIZ,5
4-24-8400168-1984-07-24-1,4,24,1,8400168,1984-07-24,1991-08-14,USA,FED,BOYCE ETAL,IND,4
10-82-0502053-2005-10-18-1,10,82,1,0502053,2005-10-18,2006-06-01,USA,FED,"CHEMICAL WASTE MANAGEMENT, INC",BIZ,14
1-01-1711816-2017-09-21-1,1,01,1,1711816,2017-09-21,2020-07-31,UNITED STATES OF AMERICA,FED,RAYTHEON COMPANY,BIZ,6
1-04-9702394-1997-09-19-1,1,04,3,9702394,1997-09-19,1997-09-24,USA,FED,WARNER-LAMBERT INC.,BIZ,5
5-38-0300349-2004-05-10-1,5,38,1,0300349,2004-05-10,2004-12-10,"CLARK, ET AL",FED,"JACKSON COUNTY, ET AL",LOC,13
6-48-9801020-2000-03-17-1,6,48,2,9801020,2000-03-17,2000-05-18,USA,FED,"CYTEC INDUSTRIES INC, ET AL",BIZ,4
4-25-9600282-1997-02-05-1,4,25,6,9600282,1997-02-05,1997-05-08,UNITED STATES,FED,"EUREKA PIPE LINE, ET AL",BIZ,5
6-49-1300178-2013-06-28-1,6,49,2,1300178,2013-06-28,2013-08-22,"UNITED STATES OF AMERIC, ET AL",FED,KING PHARMACEUTICALS LLC,BIZ,13
9-73-0305470-2003-07-31-1,9,73,2,0305470,2003-07-31,2006-05-24,USA,FED,"ACORN ENGINEERING, ET AL",BIZ,13
9-71-9402720-1994-07-29-1,9,71,3,9402720,1994-07-29,1994-08-01,USA,FED,ALBERT D. SEENO CONSTRUCT,BIZ,5
